,\HD\,41667} \\
  {[O  ,  +0.03  ,   +0.08  ,-0.01  ,  0.07  ,  0.11 \\
 {[Ti  ,  +0.21  ,   +0.01  ,-0.05  ,  0.05  ,  0.23 \\
{[Ti II/H]}  ,-0.00  ,   +0.03  ,-0.20  ,  0.20  ,  0.28 \\
  {[V  ,  +0.25  ,   +0.03  ,-0.09  ,  0.05  ,  0.27 \\
 {[Cr  ,  +0.23  ,   +0.01  ,-0.27  ,  0.07  ,  0.36 \\
{[Cr II/H]}  ,-0.09  ,   +0.02  ,-0.08  ,  0.10  ,  0.16 \\
 {[Mn  ,  +0.15  , -0.00  ,-0.18  ,  0.06  ,  0.24 \\
 {[Fe  ,  +0.10  ,   +0.01  ,-0.10  ,  0.01  ,  0.15 \\
{[Fe II/H]}  ,-0.14  ,   +0.06  ,-0.05  ,  0.03  ,  0.16 \\
 {[Co  ,  +0.09  ,   +0.03  ,-0.07  ,  0.06  ,  0.13 \\
 {[Ni  ,  +0.04  ,   +0.02  ,-0.04  ,  0.04  ,  0.07 \\
 {[Cu  ,  +0.12  ,   +0.02  ,-0.28  ,  0.10  ,  0.32 \\
 {[Zn  ,-0.08  ,   +0.00  ,-0.12  ,  0.10  ,  0.18 \\
 {[Sr  ,  +0.23  ,   +0.00  ,-0.11  ,  0.10  ,  0.27 \\
 {[Y II/H]}  ,  +0.07  ,   +0.10  ,-0.10  ,  0.13  ,  0.21 \\
 {[Zr  ,  +0.27  ,   +0.03  ,-0.03  ,  0.06  ,  0.28 \\
{[Ba II/H]}  ,  +0.05  ,   +0.05  ,-0.24  ,  0.07  ,  0.26 \\
{[La II/H]}  ,  +0.02  ,   +0.07  ,-0.02  ,  0.07  ,  0.10 \\
{[Ce II/H]}  ,  +0.05  ,   +0.05  ,-0.08  ,  0.07  ,  0.13 \\
{[Nd II/H]}  ,  +0.05  ,   +0.06  ,-0.10  ,  0.08  ,  0.15 \\
{[Eu II/H]}  ,-0.10  , -0.02  ,-0.11  ,  0.10  ,  0.18 \\
\}{C222531-145437} \\
  {[O  ,  +0.00  ,   +0.05  ,-0.02  ,  0.07  ,  0.09 \\
 {[Na  ,  +0.09  , -0.01  ,-0.02  ,  0.07  ,  0.12 \\
 {[Mg  ,  +0.02  , -0.02  ,-0.02  ,  0.07  ,  0.08 \\
 {[Al  ,  +0.05  , -0.04  ,-0.05  ,  0.05  ,  0.09 \\
 {[Si  ,-0.10  , -0.01  ,-0.04  ,  0.07  ,  0.13 \\
  {[K  ,  +0.27  ,   +0.01  ,-0.16  ,  0.10  ,  0.33 \\
 {[Ca  ,  +0.14  , -0.04  ,-0.13  ,  0.05  ,  0.20 \\
{[Sc II/H]}  ,-0.08  ,   +0.02  ,-0.10  ,  0.06  ,  0.14 \\
 {[Ti  ,  +0.20  ,   +0.00  ,-0.04  ,  0.05  ,  0.21 \\
{[Ti II/H]}  ,-0.09  , -0.00  ,-0.18  ,  0.09  ,  0.22 \\
  {[V  ,  +0.30  ,   +0.03  ,-0.09  ,  0.06  ,  0.32 \\
 {[Cr  ,  +0.29  ,   +0.02  ,-0.22  ,  0.06  ,  0.37 \\
{[Cr II/H]}  ,-0.20  , -0.01  ,-0.07  ,  0.10  ,  0.23 \\
 {[Mn  ,  +0.13  , -0.03  ,-0.14  ,  0.06  ,  0.20 \\
 {[Fe  ,  +0.10  , -0.00  ,-0.09  ,  0.01  ,  0.13 \\
{[Fe II/H]}  ,-0.20  ,   +0.02  ,-0.03  ,  0.03  ,  0.21 \\
 {[Co  ,  +0.10  ,   +0.02  ,-0.03  ,  0.05  ,  0.12 \\
 {[Ni  ,  +0.03  ,   +0.01  ,-0.03  ,  0.04  ,  0.06 \\
 {[Cu  ,  +0.12  ,   +0.00  ,-0.25  ,  0.10  ,  0.29 \\
 {[Zn  ,-0.16  , -0.02  ,-0.12  ,  0.17  ,  0.27 \\
 {[Sr  ,  +0.28  ,   +0.01  ,-0.16  ,  0.10  ,  0.34 \\
 {[Y II/H]}  ,-0.06  , -0.00  ,-0.20  ,  0.07  ,  0.22 \\
 {[Zr  ,  +0.31  ,   +0.04  ,-0.04  ,  0.06  ,  0.32 \\
{[Ba II/H]}  ,  +0.01  ,   +0.01  ,-0.22  ,  0.07  ,  0.23 \\
{[La II/H]}  ,-0.01  ,   +0.05  ,-0.05  ,  0.07  ,  0.10 \\
{[Ce II/H]}  ,-0.01  ,   +0.04  ,-0.09  ,  0.07  ,  0.12 \\
{[Nd II/H]}  ,  +0.01  ,   +0.03  ,-0.12  ,  0.05  ,  0.13 \\
{[Eu II/H]}  ,-0.13  , -0.03  ,-0.10  ,  0.10  ,  0.19 \\
\}{j221821-183424} \\
  {[O  ,  +0.03  ,   +0.07  ,-0.00  ,  0.07  ,  0.10 \\
 {[Na  ,  +0.09  ,   +0.00  ,-0.02  ,  0.10  ,  0.14 \\
 {[Mg  ,  +0.06  ,   +0.00  ,-0.01  ,  0.06  ,  0.09 \\
 {[Al  ,  +0.09  ,   +0.00  ,  +0.00  ,  0.10  ,  0.13 \\
 {[Si  ,  +0.05  ,   +0.01  ,-0.01  ,  0.04  ,  0.07 \\
  {[K  ,  +0.17  , -0.01  ,-0.16  ,  0.10  ,  0.25 \\
 {[Ca  ,  +0.12  , -0.00  ,-0.04  ,  0.05  ,  0.14 \\
{[Sc II/H]}  ,-0.01  ,   +0.06  ,-0.06  ,  0.04  ,  0.10 \\
{[Ti II/H]}  ,-0.02  ,   +0.06  ,-0.16  ,  0.06  ,  0.18 \\
  {[V  ,  +0.21  ,   +0.00  ,-0.01  ,  0.06  ,  0.21 \\
 {[Cr  ,  +0.21  , -0.01  ,-0.13  ,  0.03  ,  0.25 \\
{[Cr II/H]}  ,-0.08  ,   +0.06  ,-0.04  ,  0.07  ,  0.13 \\
 {[Mn  ,  +0.14  ,   +0.00  ,-0.02  ,  0.06  ,  0.16 \\
 {[Fe  ,  +0.16  ,   +0.00  ,-0.04  ,  0.01  ,  0.16 \\
{[Fe II/H]}  ,-0.07  ,   +0.07  ,-0.02  ,  0.03  ,  0.11 \\
 {[Co  ,  +0.19  ,   +0.01  ,-0.01  ,  0.08  ,  0.21 \\
 {[Ni  ,  +0.13  ,   +0.01  ,-0.01  ,  0.06  ,  0.15 \\
 {[Cu  ,  +0.19  ,   +0.00  ,-0.07  ,  0.10  ,  0.23 \\
 {[Zn  ,-0.01  ,   +0.03  ,-0.10  ,  0.10  ,  0.14 \\
 {[Sr  ,  +0.19  ,   +0.00  ,-0.02  ,  0.10  ,  0.22 \\
 {[Y II/H]}  ,  +0.00  ,   +0.06  ,-0.11  ,  0.06  ,  0.14 \\
{[Zr II/H]}  ,-0.01  ,   +0.06  ,-0.01  ,  0.10  ,  0.12 \\
{[Ba II/H]}  ,  +0.03  ,   +0.05  ,-0.20  ,  0.07  ,  0.22 \\
{[La II/H]}  ,  +0.02  ,   +0.06  ,-0.01  ,  0.07  ,  0.10 \\
{[Ce II/H]}  ,  +0.03  ,   +0.06  ,-0.03  ,  0.06  ,  0.09 \\
{[Nd II/H]}  ,  +0.03  ,   +0.06  ,-0.02  ,  0.03  ,  0.08 \\
{[Eu II/H]}  ,-0.03  ,   +0.01  ,-0.18  ,  0.46  ,  0.49 \\
\}{J223504-152834} \\
  {[O  ,  +0.02  ,   +0.09  ,-0.00  ,  0.07  ,  0.11 \\
 {[Na  ,  +0.10  , -0.01  ,-0.06  ,  0.07  ,  0.13 \\
 {[Mg  ,  +0.05  ,   +0.01  ,-0.05  ,  0.09  ,  0.11 \\
 {[Al  ,  +0.07  ,   +0.00  ,-0.04  ,  0.06  ,  0.10 \\
 {[Si  ,-0.03  ,   +0.06  ,-0.04  ,  0.05  ,  0.09 \\
  {[K  ,  +0.15  , -0.04  ,-0.14  ,  0.10  ,  0.23 \\
 {[Ca  ,  +0.12  , -0.01  ,-0.15  ,  0.05  ,  0.20 \\
{[Sc II/H]}  ,-0.01  ,   +0.10  ,-0.12  ,  0.06  ,  0.16 \\
 {[Ti  ,  +0.17  ,   +0.00  ,-0.05  ,  0.05  ,  0.18 \\
{[Ti II/H]}  ,-0.01  ,   +0.09  ,-0.21  ,  0.10  ,  0.25 \\
  {[V  ,  +0.19  ,   +0.01  ,-0.09  ,  0.05  ,  0.22 \\
 {[Cr  ,  +0.19  , -0.01  ,-0.25  ,  0.04  ,  0.32 \\
{[Cr II/H]}  ,-0.08  ,   +0.09  ,-0.07  ,  0.07  ,  0.16 \\
 {[Mn  ,  +0.11  ,   +0.01  ,-0.22  ,  0.06  ,  0.25 \\
 {[Fe  ,  +0.09  ,   +0.03  ,-0.11  ,  0.02  ,  0.14 \\
{[Fe II/H]}  ,-0.11  ,   +0.12  ,-0.04  ,  0.03  ,  0.17 \\
 {[Co  ,  +0.09  ,   +0.04  ,-0.06  ,  0.06  ,  0.13 \\
 {[Ni  ,  +0.05  ,   +0.05  ,-0.06  ,  0.04  ,  0.10 \\
 {[Cu  ,  +0.10  ,   +0.03  ,-0.28  ,  0.10  ,  0.32 \\
 {[Zn  ,-0.04  ,   +0.07  ,-0.18  ,  0.07  ,  0.21 \\
 {[Sr  ,  +0.18  ,   +0.00  ,-0.19  ,  0.10  ,  0.28 \\
 {[Y II/H]}  ,  +0.00  ,   +0.09  ,-0.16  ,  0.06  ,  0.19 \\
 {[Zr  ,  +0.21  , -0.00  ,-0.02  ,  0.06  ,  0.22 \\
{[Ba II/H]}  ,  +0.04  ,   +0.08  ,-0.24  ,  0.07  ,  0.27 \\
{[La II/H]}  ,  +0.03  ,   +0.09  ,-0.02  ,  0.07  ,  0.12 \\
{[Ce II/H]}  ,  +0.04  ,   +0.09  ,-0.10  ,  0.08  ,  0.16 \\
{[Nd II/H]}  ,  +0.04  ,   +0.08  ,-0.11  ,  0.06  ,  0.15 \\
{[Eu II/H]}  ,-0.05  ,   +0.05  ,-0.08  ,  0.10  ,  0.15 \\
J223811-104126} \\
  {[O  ,  +0.04  ,   +0.09  ,-0.01  ,  0.10  ,  0.14 \\
 {[Na  ,  +0.07  , -0.01  ,-0.02  ,  0.10  ,  0.12 \\
 {[Mg  ,  +0.04  ,   +0.00  ,-0.01  ,  0.07  ,  0.08 \\
 {[Al  ,  +0.04  ,   +0.00  ,  +0.00  ,  0.10  ,  0.10 \\
 {[Si  ,  +0.03  ,   +0.02  ,-0.01  ,  0.06  ,  0.07 \\
  {[K  ,  +0.15  , -0.03  ,-0.11  ,  0.10  ,  0.21 \\
 {[Ca  ,  +0.09  , -0.02  ,-0.04  ,  0.05  ,  0.12 \\
{[Sc II/H]}  ,  +0.01  ,   +0.09  ,-0.02  ,  0.06  ,  0.11 \\
{[Ti II/H]}  ,  +0.01  ,   +0.10  ,-0.07  ,  0.05  ,  0.13 \\
  {[V  ,  +0.14  , -0.02  ,-0.01  ,  0.10  ,  0.17 \\
 {[Cr  ,  +0.16  , -0.02  ,-0.10  ,  0.03  ,  0.19 \\
{[Cr II/H]}  ,-0.04  ,   +0.10  ,-0.04  ,  0.06  ,  0.13 \\
 {[Mn  ,  +0.11  , -0.00  ,-0.01  ,  0.06  ,  0.12 \\
 {[Fe  ,  +0.12  , -0.00  ,-0.03  ,  0.02  ,  0.12 \\
