#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-11-21T04:58:33 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:   question@simbad.u-strasbg.fr
#
#
#Coosys J2000:  eq_FK5 J2000
#INFO   votable-version=1.91 (20-Jun-2012)  
#INFO   -ref=VIZ50ac5f124423    
#INFO   -out.max=unlimited  
#INFO   queryParameters=27  
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/505/117&tab:{J/A+A/505/117/stars}&key:source=J/A+A/505/117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/117/stars
#-order=I
#-out=NGC
#-out=ID
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=RV11
#-out=RV13
#-out=Teff
#-out=[FeI/H]
#-out=e_[FeI/H]
#-out=[O/Fe]
#-out=e_[O/Fe]
#-out=l_[Na/Fe]
#-out=[Na/Fe]
#-out=e_[Na/Fe]
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35050117
#Name: J/A+A/505/117
#Title: Abundances of red giants in 15 globular clusters (Carretta+, 2009)
#Table  J_A_A_505_117_stars:
#Name: J/A+A/505/117/stars
#Title: ID, positions, magnitudes, RVs, atmospheric parameters and abundances for stars in 15 GCs {\em(tables 2, 3 and 6 of paper)}
#Column NGC (I4)    NGC number  [ucd=meta.id.parent]
#Column ID  (I7)    Star ID [ucd=meta.id;meta.main]
#Column Bmag    (F6.3)  Johnson B magnitude [ucd=phot.mag;em.opt.B]
#Column Vmag    (F6.3)  Johnson V magnitude [ucd=phot.mag;em.opt.V]
#Column Icmag   (F6.3)  ? Cousins I magnitude   [ucd=phot.mag;em.opt.I]
#Column Kmag    (F6.3)  ? 2MASS K magnitude [ucd=phot.mag;em.IR.K]
#Column RV11    (F7.2)  ? RV in grating HR11    [ucd=spect.dopplerVeloc;pos.heliocentric]
#Column RV13    (F7.2)  ? RV in grating HR13    [ucd=spect.dopplerVeloc;pos.heliocentric]
#Column Teff    (I4)    Effective temperature   [ucd=phys.temperature.effective]
#Column [FeI/H] (F6.3)  ? [FeI/H] abundance [ucd=phys.abund]
#Column e_[FeI/H]   (F6.3)  ? rms uncertainty on [FeI/H]    [ucd=stat.error;phys.abund]
#Column [O/Fe]  (F6.3)  ? [O/Fe] abundance  [ucd=phys.abund]
#Column e_[O/Fe]    (F6.3)  ? rms uncertainty on [Na/Fe]    [ucd=stat.error;phys.abund]
#Column l_[Na/Fe]   (A1)    Limit flag on [Na/Fe]   [ucd=meta.code.error;phys.abund]
#Column [Na/Fe] (F6.3)  ? [Na/Fe] abundance [ucd=phys.abund]
#Column e_[Na/Fe]   (F6.3)  ? rms uncertainty on [Na/Fe]    [ucd=stat.error;phys.abund]
#Column RAJ2000 (A12)   Right ascension (J2000.0)   [ucd=pos.eq.ra;meta.main]
#Column DEJ2000 (A12)   Declination (J2000.0)   [ucd=pos.eq.dec;meta.main]
NGC;ID;Bmag;Vmag;Icmag;Kmag;RV11;RV13;Teff;[FeI/H];e_[FeI/H];[O/Fe];e_[O/Fe];l_[Na/Fe];[Na/Fe];e_[Na/Fe];RAJ2000;DEJ2000
 104;  18896;15.416;14.504;      ;12.032; -16.62; -16.92;4749;-0.784; 0.156;      ; 9.999; ; 0.554; 0.124;00 24 25.064;-72 06 20.40
 104;  19042;13.856;12.546;      ; 9.185;  -8.85;  -8.99;4104;-0.713; 0.169;-0.284; 0.095; ; 0.920; 0.227;00 24 34.027;-72 06 17.35
 104;  19394;15.485;14.556;      ;12.138;  -1.78;       ;4762;-0.722; 0.129;      ; 9.999; ; 0.370; 0.072;00 23 20.550;-72 05 01.46
 104;  19992;14.931;13.921;      ;11.395;   4.17;   3.78;4590;-0.744; 0.120; 0.368; 0.053; ; 0.117; 0.110;00 23 48.073;-72 06 02.52
 104;  20002;13.920;12.644;      ; 9.464; -13.70;       ;4142;-0.784; 0.096;      ; 9.999; ; 0.590; 0.089;00 23 29.274;-72 04 48.25
 104;  20019;14.701;13.636;      ;10.859;   1.19;   0.73;4501;-0.777; 0.169; 0.321; 0.098; ; 0.331; 0.126;00 23 36.412;-72 04 47.79
 104;  20387;14.737;13.661;      ;10.943; -17.40; -17.75;4509;-0.759; 0.105; 0.280; 0.053; ; 0.453; 0.103;00 23 38.148;-72 04 39.41
 104;  20639;14.880;13.878;      ;11.292; -10.01;       ;4577;-0.750; 0.097;      ; 9.999; ; 0.366; 0.046;00 24 34.205;-72 05 51.62
 104;  20701;14.941;13.974;      ; 0.000; -27.36; -27.99;4606;-0.716; 0.143; 0.104; 9.999; ; 0.558; 0.173;00 24 25.647;-72 05 50.85
 104;  20983;14.445;13.332;      ; 0.000;       ; -25.58;4397;-0.768; 0.080; 0.224; 0.088; ; 0.543; 0.022;00 23 32.020;-72 04 26.06
 104;  21369;14.763;13.703;      ;11.008; -14.64; -15.08;4522;-0.777; 0.126;-0.107; 0.128; ; 0.602; 0.076;00 23 00.324;-72 04 17.38
 104;  22374;14.666;13.589;      ; 0.000;       ; -17.21;4485;-0.772; 0.087;-0.208; 9.999; ; 0.731; 0.014;00 24 03.693;-72 05 23.90
 104;  22726;14.380;13.286;      ; 0.000; -21.75;   5.98;4381;-0.734; 0.139;-0.049; 9.999; ; 0.610; 0.129;00 24 35.404;-72 05 17.64
 104;  22875;15.320;14.385;      ;11.948;  -3.73;       ;4719;-0.722; 0.190;      ; 9.999; ; 0.315; 0.017;00 24 56.650;-72 05 14.46
 104;  23175;14.054;12.883;      ; 7.736; -23.31; -23.65;4233;-0.817; 0.116; 0.054; 0.090; ; 0.626; 0.138;00 23 53.082;-72 05 10.31
 104;  23211;14.839;13.813;      ;11.133;  -3.56;  -4.08;4557;-0.747; 0.112;-0.320; 9.999; ; 0.743; 0.111;00 24 30.442;-72 05 09.48
 104;  23225;15.423;14.478;      ;11.568; -32.15;       ;4743;-0.709; 0.153;      ; 9.999; ; 0.193; 0.029;00 25 06.579;-72 05 08.55
 104;  23232;14.880;13.889;      ;11.614;  13.72;  13.52;4577;-0.741; 0.127; 0.347; 0.066; ; 0.101; 0.093;00 23 56.755;-72 05 09.46
 104;  23236;15.345;14.429;      ;12.016; -23.74; -24.00;4730;-0.789; 0.160; 0.292; 9.999; ; 0.360; 0.164;00 25 11.175;-72 05 08.33
 104;  23335;13.984;12.708;      ; 0.000; -20.31; -20.62;4167;-0.679; 0.213;-0.034; 0.022; ; 0.686; 0.182;00 24 11.653;-72 05 07.29
 104;  23782;14.560;13.483;      ; 0.000;  -7.85;       ;4450;-0.810; 0.134;      ; 9.999; ; 0.435; 0.092;00 23 51.880;-72 05 00.75
 104;  23799;15.368;14.452;      ;11.960; -17.72;       ;4736;-0.712; 0.113;      ; 9.999; ; 0.325; 0.080;00 24 38.257;-72 04 59.87
 104;  23821;14.017;12.832;      ; 0.000;       ; -10.45;4214;-0.787; 0.188; 0.138; 0.028; ; 0.528; 0.019;00 24 01.551;-72 04 59.38
 104;  23829;14.661;13.570;      ; 0.000; -14.94;       ;4479;-0.736; 0.099;      ; 9.999; ; 0.508; 0.125;00 22 30.612;-72 03 21.21
 104;  23879;13.807;12.560;      ; 9.485; -18.99; -18.99;4212;-0.773; 0.128; 0.338; 0.016; ; 0.433; 0.046;00 22 09.965;-72 03 19.54
 104;  24463;15.240;14.276;      ;11.757; -24.04; -24.33;4691;-0.740; 0.164;-0.126; 9.999;<; 0.530; 0.089;00 23 01.849;-72 03 06.85
 104;  24533;15.273;14.305;      ;11.801; -25.57; -25.88;4698;-0.760; 0.137; 0.089; 9.999; ; 0.498; 0.122;00 23 07.182;-72 03 05.28
 104;  24553;15.334;14.402;      ;11.937;       ; -10.80;4724;-0.772; 0.101;-0.177; 9.999;<; 0.859; 0.073;00 22 23.873;-72 03 03.88
 104;  24665;14.109;12.943;      ; 0.000;       ; -21.38;4256;-0.750; 0.121; 0.294; 0.019; ; 0.388; 0.016;00 24 21.090;-72 04 46.19
 104;  24901;14.985;13.975;      ; 0.000; -30.04;       ;4606;-0.771; 0.159;      ; 9.999; ; 0.691; 0.120;00 24 20.669;-72 04 43.01
 104;  25226;13.750;12.457;      ; 0.000;       ; -29.88;4070;-0.764; 0.042; 0.003; 0.027; ; 0.514; 0.043;00 24 06.604;-72 04 37.79
 104;  25487;15.476;14.560;      ; 0.000; -18.07; -18.07;4763;-0.764; 0.121; 0.193; 9.999; ; 0.406; 0.157;00 23 39.917;-72 02 41.17
 104;  25770;15.445;14.506;      ;12.060; -12.16; -12.98;4750;-0.718; 0.101; 0.134; 9.999; ; 0.576; 0.110;00 23 21.597;-72 02 33.15
 104;  25961;14.132;12.966;      ; 9.913; -24.70; -25.12;4264;-0.783; 0.147; 0.089; 0.004; ; 0.540; 0.148;00 23 49.433;-72 04 26.50
 104;  25988;14.561;13.457;      ;10.843; -32.04;       ;4550;-0.730; 0.144;      ; 9.999; ; 0.417; 0.061;00 24 18.832;-72 04 26.03
 104;  26058;13.718;12.403;      ; 9.186;   9.06;   9.06;4127;-0.779; 0.107; 0.409; 0.029; ; 0.375; 0.085;00 24 06.739;-72 04 26.03
 104;  26281;14.959;13.954;      ;11.330; -31.23; -31.47;4600;-0.717; 0.122; 0.055; 9.999;<; 0.513; 0.120;00 25 30.936;-72 04 19.74
 104;  26403;15.465;14.528;      ;12.140;       ; -11.93;4755;-0.690; 0.137; 0.211; 0.102;<; 0.649; 0.015;00 23 36.667;-72 02 16.81
 104;  26713;15.427;14.476;      ; 0.000; -22.27; -22.69;4742;-0.718; 0.116; 0.300; 9.999; ; 0.426; 0.112;00 22 38.575;-72 02 08.29
 104;  26870;14.867;13.863;      ; 0.000; -29.79; -30.00;4572;-0.780; 0.159; 0.114; 9.999; ; 0.674; 0.130;00 24 12.242;-72 04 11.89
 104;  27381;14.605;13.536;      ; 0.000; -15.90; -15.51;4467;-0.740; 0.164;-0.221; 0.087; ; 0.597; 0.024;00 24 28.359;-72 04 04.01
 104;  27385;13.935;12.688;      ; 9.512; -36.74; -36.86;4159;-0.736; 0.198;-0.024; 0.164; ; 0.715; 0.079;00 23 38.693;-72 01 50.08
 104;  27499;15.453;14.520;      ;12.163; -12.37; -12.89;4753;-0.664; 0.126; 0.136; 0.069; ; 0.446; 0.110;00 22 41.030;-72 01 46.27
 104;  27551;15.319;14.399;      ; 0.000;       ; -37.00;4723;-0.794; 0.074; 0.325; 9.999; ; 0.504; 0.030;00 24 18.629;-72 04 01.56
 104;  27755;15.318;14.343;      ; 0.000; -13.14; -13.55;4708;-0.698; 0.201; 0.270; 0.051; ; 0.249; 0.081;00 25 24.179;-72 03 57.11
 104;  28628;14.618;13.582;      ;10.988;  -9.05;       ;4567;-0.731; 0.131;      ; 9.999; ; 0.619; 0.172;00 23 58.501;-72 03 45.22
 104;  29031;15.487;14.571;      ;12.186; -36.07;       ;4765;-0.658; 0.113;      ; 9.999; ; 0.519; 0.240;00 24 24.689;-72 03 38.66
 104;  29167;13.853;12.590;      ; 9.209; -41.02;       ;4121;-0.717; 0.131;      ; 9.999; ; 0.574; 0.108;00 24 12.806;-72 03 38.41
 104;  29490;14.765;13.741;      ;11.043; -24.45; -24.83;4534;-0.742; 0.118; 0.336; 0.034; ; 0.295; 0.096;00 22 43.643;-72 00 45.73
 104;  29886;15.417;14.505;      ;12.029;       ;  -8.43;4749;-0.719; 0.080;-0.015; 9.999;<; 0.604; 0.054;00 22 43.115;-72 00 33.10
 104;  30104;15.496;14.568;      ;12.144;  -6.93;  -7.19;4765;-0.713; 0.117; 0.024; 9.999;<; 0.580; 0.090;00 23 19.197;-72 00 26.50
 104;  30193;15.068;14.085;      ;11.537; -15.47;       ;4638;-0.729; 0.103;      ; 9.999; ; 0.327; 0.127;00 24 09.127;-72 03 20.80
 104;  30297;15.021;14.030;      ;11.451; -17.29; -17.62;4622;-0.752; 0.093; 0.238; 9.999; ; 0.247; 0.051;00 24 23.848;-72 03 18.85
 104;  30340;13.748;12.395;      ; 8.934;       ;   2.18;4046;-0.714; 0.100; 0.170; 0.122; ; 0.488; 0.062;00 24 02.761;-72 03 18.03
 104;  30463;14.497;13.427;      ;10.604; -10.03; -10.47;4430;-0.732; 0.085;-0.063; 0.153; ; 0.542; 0.086;00 25 06.789;-72 03 15.25
 104;  30949;15.458;14.556;      ;12.127; -19.06; -19.17;4762;-0.713; 0.120; 0.139; 0.172; ; 0.632; 0.117;00 23 18.785;-71 59 55.22
 104;  30952;15.441;14.514;      ;12.106;       ; -16.75;4752;-0.691; 0.120; 0.336; 0.077; ; 0.343; 0.046;00 24 52.032;-72 03 08.06
 104;  31100;15.319;14.385;      ;11.874; -21.32;       ;4719;-0.763; 0.159;      ; 9.999; ; 0.550; 0.116;00 23 58.422;-72 03 06.03
 104;  31190;14.629;13.583;      ;10.867; -23.04; -23.18;4483;-0.771; 0.103; 0.287; 9.999; ; 0.405; 0.079;00 25 29.043;-72 03 02.92
 104;  31223;15.496;14.560;      ; 0.000;   1.15;   0.62;4763;-0.739; 0.164;      ; 9.999; ; 0.243; 0.019;00 24 06.411;-72 03 04.24
 104;  31426;14.463;13.378;      ; 0.000; -20.82; -21.07;4413;-0.711; 0.152; 0.061; 0.002; ; 0.631; 0.136;00 24 43.948;-72 03 00.37
 104;  31525;14.340;13.228;      ; 7.892;       ; -14.06;4360;-0.742; 0.114; 0.162; 0.016; ; 0.629; 0.017;00 24 10.102;-72 02 59.21
 104;  31560;14.395;13.268;      ;10.364;  -7.71;  -8.17;4375;-0.723; 0.131; 0.287; 0.037; ; 0.461; 0.158;00 24 39.696;-72 02 58.20
 104;  31638;14.898;13.894;      ;11.272; -36.19; -36.70;4582;-0.740; 0.167;      ; 9.999; ; 0.495; 0.108;00 23 46.881;-72 02 55.37
 104;  31796;15.427;14.496;      ;12.039; -22.87;       ;4747;-0.765; 0.132;      ; 9.999; ; 0.593; 0.045;00 24 30.044;-72 02 54.41
 104;  32730;13.910;12.649;      ; 9.418; -31.59; -32.96;4144;-0.760; 0.140; 0.171; 0.132; ; 0.544; 0.066;00 25 23.273;-72 02 37.46
 104;  33009;15.480;14.539;      ;12.102; -20.31; -20.43;4758;-0.678; 0.120; 0.144; 9.999; ; 0.485; 0.076;00 22 56.834;-71 58 29.39
 104;  33311;15.233;14.281;      ;11.751; -29.47;       ;4692;-0.773; 0.150;      ; 9.999; ; 0.108; 0.029;00 24 39.851;-72 02 29.44
 104;  33686;15.389;14.463;      ;12.059;       ; -22.22;4739;-0.713; 0.126;-0.093; 9.999;<; 0.719; 0.009;00 25 23.031;-72 02 21.86
 104;  34033;14.500;13.448;      ;10.659; -11.12; -11.69;4438;-0.753; 0.140; 0.169; 0.103; ; 0.400; 0.024;00 24 27.756;-72 02 17.38
 104;  34847;13.781;12.463;      ; 9.089; -21.15;       ;4072;-0.802; 0.133;      ; 9.999; ; 0.462; 0.123;00 25 11.496;-72 02 01.56
 104;  35160;14.537;13.446;      ;10.651; -14.73; -15.08;4437;-0.721; 0.126;-0.081; 9.999; ; 0.728; 0.125;00 23 55.015;-72 01 57.36
