#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-01-10T05:27:37 [V1.97 (28-Nov-2012)]
#   In case of problem  please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ50ee50e47802	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ _DEJ
#-sort=_r
#-nav=cat:J/A+A/505/139&tab:{J/A+A/505/139/stars}&key:source=J/A+A/505/139/stars&HTTPPRM:&-ref=VIZ50ee50e47802&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ _DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/139/stars
#-order=I
#-out=NGC
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=HRV
#-out=Teff
#-out=logg
#-out=[A/H]
#-out=vt
#-out=[FeI/H]
#-out=l_[O/Fe]
#-out=[O/Fe]
#-out=[Na/Fe]
#-out=[Mg/Fe]
#-out=[Al/Fe]
#-out=[Si/Fe]
#

#RESOURCE=yCat_35050139
#Name: J/A+A/505/139
#Title: Abundances of red giants in 17 globular clusters (Carretta+  2009)
#Table	J_A_A_505_139_stars:
#Name: J/A+A/505/139/stars
#Title: ID  positions  magnitudes  RVs  atmospheric parameters and abundances for stars in 17 GCs {\em(tables 3  4 and 9 of paper; error fixed on 2011-07-06)}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5  Equinox=J2000.0) (computed by VizieR  not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5  Equinox=J2000.0) (computed by VizieR  not part of the original data)	[ucd=pos.eq.dec]
#Column	NGC	(I4)	NGC number \linkRole{mean errors}	[ucd=meta.id.parent]
#Column	ID	(I7)	Star ID	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Bmag	(F6.3)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F6.3)	? Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Kmag	(F6.3)	? 2MASS K magnitude	[ucd=phot.mag;em.IR.K]
#Column	HRV	(F7.2)	Heliocentric radial velocity (in grating HR11)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Gravity	[ucd=phys.gravity]
#Column	[A/H]	(F5.2)	Input metallicity	[ucd=phys.abund]
#Column	vt	(F5.2)	Microturbulent velocity	[ucd=phys.veloc]
#Column	[FeI/H]	(F6.3)	Metallicity [FeI/H]I	[ucd=phys.abund.Z]
#Column	l_[O/Fe]	(A1)	Limit flag on [O/Fe]	[ucd=meta.code.error;phys.abund]
#Column	[O/Fe]	(F6.3)	? [O/Fe] abundance	[ucd=phys.abund]
#Column	[Na/Fe]	(F6.3)	? [Na/Fe] abundance	[ucd=phys.abund]
#Column	[Mg/Fe]	(F6.3)	? [Mg/Fe] abundance	[ucd=phys.abund]
#Column	[Al/Fe]	(F6.3)	? [Al/Fe] abundance	[ucd=phys.abund]
#Column	[Si/Fe]	(F6.3)	? [Si/Fe] abundance	[ucd=phys.abund]
#_RAJ2000|_DEJ2000|NGC|ID|RAJ2000|DEJ2000|Bmag|Vmag|Icmag|Kmag|HRV|Teff|logg|[A/H]|vt|[FeI/H]|l_[O/Fe]|[O/Fe]|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]
#deg|deg| | |"h:m:s"|"d:m:s"|mag|mag|mag|mag|km/s|K|[cm/s2]|[Sun]|km/s|[Sun]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]
#----------|----------|----|-------|------------|------------|------|------|------|------|-------|----|-----|-----|-----|------|-|------|------|------|------|------
081.054083|-24.578867|1904|    191|05 24 12.980|-24 34 43.92|15.971|15.012|13.944|12.517| 206.54|4603| 1.67|-1.63| 1.35|-1.634| | 0.071| 0.518| 0.268| 0.438| 0.291
081.048750|-24.501036|1904|     97|05 24 11.700|-24 30 03.73|15.341|14.257|13.061|11.491| 204.49|4378| 1.23|-1.61| 1.49|-1.615| | 0.333|-0.025| 0.326|-0.216| 0.268
081.039000|-24.546086|1904|    171|05 24 09.360|-24 32 45.91|15.837|14.859|13.776|12.339| 205.00|4560| 1.60|-1.59| 1.36|-1.595| | 0.173| 0.363| 0.225| 0.471| 0.251
081.030333|-24.566369|1904|    165|05 24 07.280|-24 33 58.93|15.793|14.802|13.718|12.247| 206.84|4544| 1.55|-1.55| 1.73|-1.554| |-0.100| 0.713| 0.274| 0.850| 0.328
081.009000|-24.521436|1904|    149|05 24 02.160|-24 31 17.17|15.705|14.694|13.600|12.133| 204.83|4512| 1.51|-1.62| 1.77|-1.617|<|-0.284| 0.711| 0.327| 0.910| 0.341
081.027458|-24.520122|1904|    113|05 24 06.590|-24 31 12.44|15.459|14.420|13.275|11.733| 201.84|4430| 1.34|-1.54| 1.66|-1.542|<|-0.495| 0.554| 0.164| 1.052| 0.321
081.086375|-24.557378|1904|    185|05 24 20.730|-24 33 26.56|15.936|14.987|13.909|12.431| 201.14|4596| 1.63|-1.55| 1.73|-1.545| | 0.091| 0.605| 0.362| 0.688| 0.276
081.044708|-24.595642|1904|    181|05 24 10.730|-24 35 44.31|15.906|14.940|13.867|12.393| 204.26|4583| 1.61|-1.55| 1.78|-1.552| |      | 0.633| 0.225| 0.934| 0.319
081.018250|-24.531097|1904|    193|05 24 04.380|-24 31 51.95|16.002|15.047|13.969|12.575| 206.40|4612| 1.70|-1.57| 1.75|-1.569| | 0.320| 0.149| 0.294|      | 0.268
081.108458|-24.529944|1904|     98|05 24 26.030|-24 31 47.80|15.342|14.281|13.096|11.534| 206.86|4386| 1.25|-1.57| 1.92|-1.569| | 0.356|-0.048| 0.327|      | 0.264
137.963342|-64.810428|2808|   8739|09 11 51.202|-64 48 37.54|15.761|14.288|      |10.693| 109.96|4277| 1.13|-1.17| 1.53|-1.170| | 0.366| 0.093| 0.384| 0.124| 0.245
138.166112|-64.928633|2808|  38660|09 12 39.867|-64 55 43.08|15.672|14.290|      |10.875|  98.49|4322| 1.22|-1.21| 1.62|-1.200| | 0.251| 0.084| 0.398| 0.086| 0.242
138.058546|-64.811919|2808|   8603|09 12 14.051|-64 48 42.91|15.847|14.432|      |10.957| 109.32|4343| 1.24|-1.18| 1.66|-1.178| | 0.228| 0.002| 0.268|-0.015| 0.307
138.171342|-64.773847|2808|  10571|09 12 41.122|-64 46 25.85|15.806|14.376|      |10.844| 109.02|4315| 1.21|-1.21| 1.66|-1.206| | 0.168| 0.263| 0.362| 0.147| 0.317
137.881750|-64.916108|2808|  30763|09 11 31.620|-64 54 57.99|15.927|14.606|      |11.465|  96.54|4469| 1.40|-1.19| 1.57|-1.186|<|-0.583| 0.580|-0.299| 1.145| 0.314
138.153321|-64.862528|2808|  49743|09 12 36.797|-64 51 45.10|16.353|15.168|      |12.159| 112.08|4641| 1.74|-1.13| 1.83|-1.132|<|-0.443| 0.436|-0.200| 1.233| 0.379
137.864683|-64.858692|2808|  34008|09 11 27.524|-64 51 31.29|16.346|15.119|      |12.115| 102.71|4630| 1.69|-1.17| 1.69|-1.170|<|-0.543| 0.680|-0.098| 1.199| 0.333
138.129042|-64.935700|2808|  38228|09 12 30.970|-64 56 08.52|16.211|14.981|      |11.887| 102.09|4574| 1.63|-1.12| 1.81|-1.121| | 0.304| 0.103| 0.181| 0.189| 0.265
138.088117|-64.787197|2808|  10105|09 12 21.148|-64 47 13.91|15.976|14.669|      |11.417| 104.93|4457| 1.44|-1.27| 1.47|-1.273| | 0.245| 0.020| 0.342| 0.041| 0.231
138.132108|-64.822853|2808|   7536|09 12 31.706|-64 49 22.27|15.812|14.372|      |10.829|  95.96|4311| 1.19|-0.98| 1.69|-0.980| | 0.312|-0.016| 0.308| 0.183| 0.255
138.191158|-64.883725|2808|  44984|09 12 45.878|-64 53 01.41|15.855|14.535|      |11.219|  89.97|4408| 1.37|-1.13| 1.49|-1.134| | 0.356|-0.034| 0.386| 0.104| 0.223
137.757054|-64.860025|2808|  33918|09 11 01.693|-64 51 36.09|15.776|14.331|      |10.887| 118.08|4325| 1.17|-1.06| 1.53|-1.063| | 0.162| 0.168| 0.343| 0.310| 0.265
154.406892|-46.436900|3201| 539642|10 17 37.654|-46 26 12.84|14.671|13.505|      |10.115| 494.75|4442| 1.47|-1.59| 1.41|-1.592|<|-0.454| 0.662| 0.335| 0.835| 0.256
154.362329|-46.431247|3201| 541657|10 17 26.959|-46 25 52.49|14.719|13.580|      |10.357| 491.74|4485| 1.59|-1.46| 1.69|-1.459| |-0.195| 0.430| 0.336| 0.727| 0.314
154.439179|-46.425483|3201| 543863|10 17 45.403|-46 25 31.74|14.861|13.668|      |10.414| 489.65|4495| 1.61|-1.50| 1.59|-1.496| | 0.217|-0.283| 0.265| 0.187| 0.260
154.360129|-46.414031|3201| 548152|10 17 26.431|-46 24 50.51|14.209|12.911|      | 9.385| 498.29|4311| 1.16|-1.46| 1.56|-1.454| | 0.261| 0.096| 0.396|-0.090| 0.408
154.419808|-46.412450|3201| 548860|10 17 40.754|-46 24 44.82|14.808|13.657|      |10.418| 498.20|4496| 1.61|-1.44| 1.69|-1.440| | 0.244|-0.083| 0.328|-0.284| 0.276
154.430425|-46.410794|3201| 549551|10 17 43.302|-46 24 38.86|14.910|13.783|      |10.648| 487.10|4537| 1.71|-1.46| 1.67|-1.458| | 0.203| 0.239| 0.376|-0.086| 0.286
154.392112|-46.404133|3201| 552176|10 17 34.107|-46 24 14.88|14.261|13.055|      | 9.679| 496.50|4364| 1.30|-1.48| 1.79|-1.484|<|-0.600| 0.584| 0.337| 0.597| 0.316
154.412100|-46.400633|3201| 553560|10 17 38.904|-46 24 02.28|14.219|13.015|      | 9.702| 495.72|4368| 1.32|-1.60| 1.34|-1.597| | 0.100|-0.132| 0.289|-0.129| 0.266
154.447833|-46.398269|3201| 554478|10 17 47.480|-46 23 53.77|14.256|12.993|      | 9.636| 499.44|4356| 1.22|-1.59| 1.56|-1.592| | 0.152|-0.120| 0.339|-0.251| 0.311
154.420837|-46.395478|3201| 555512|10 17 41.001|-46 23 43.72|14.565|13.378|      |10.089| 498.87|4437| 1.47|-1.53| 1.34|-1.526| |-0.068| 0.464| 0.386| 0.351| 0.259
154.410967|-46.390450|3201| 557181|10 17 38.632|-46 23 25.62|14.478|13.278|      | 9.934| 495.38|4410| 1.40|-1.57| 1.33|-1.575| | 0.234|-0.057| 0.347| 0.021| 0.251
154.428879|-46.380078|3201| 560216|10 17 42.931|-46 22 48.28|14.744|13.633|      |10.415| 492.27|4496| 1.61|-1.57| 1.50|-1.569| | 0.069| 0.387| 0.401| 0.143| 0.357
154.405446|-46.337639|3201| 569618|10 17 37.307|-46 20 15.50|14.775|13.691|      |10.608| 491.49|4530| 1.70|-1.42| 1.65|-1.419| | 0.234|-0.051| 0.326|-0.258| 0.308
189.780062|-26.742561|4590|   3584|12 39 07.215|-26 44 33.22|15.321|14.408|      |11.893| -94.29|4684| 1.63|-2.27| 1.95|-2.272|<| 0.228| 0.501| 0.460| 0.773| 0.397
189.935692|-26.816361|4590|   4906|12 39 44.566|-26 48 58.90|15.576|14.679|      |12.245| -94.93|4740| 1.78|-2.26| 1.38|-2.261|<| 0.303| 0.395| 0.309| 0.862| 0.477
189.817650|-26.796353|4590|   5478|12 39 16.236|-26 47 46.87|14.801|13.741|      |11.063|-100.26|4547| 1.28|-2.19| 1.75|-2.186|<| 0.288|      | 0.307| 0.468| 0.370
189.820846|-26.760736|4590|   8175|12 39 17.003|-26 45 38.65|15.183|14.231|      |11.659| -92.25|4648| 1.53|-2.20| 2.03|-2.201| | 0.451| 0.367| 0.406| 0.755| 0.319
189.850917|-26.754739|4590|   9036|12 39 24.220|-26 45 17.06|15.511|14.629|      |12.118| -95.57|4729| 1.72|-2.25| 1.39|-2.253|<| 0.386| 0.241| 0.398| 0.400| 0.411
189.906767|-26.754325|4590|   9073|12 39 37.624|-26 45 15.57|15.211|14.277|      |11.712| -93.23|4657| 1.55|-2.31| 2.04|-2.308|<| 0.368| 0.596| 0.396| 0.772| 0.453
189.887292|-26.753797|4590|   9156|12 39 32.950|-26 45 13.67|15.357|14.454|      |11.978| -91.83|4693| 1.67|-2.24| 1.61|-2.237|<| 0.460| 0.496| 0.317| 0.883| 0.454
189.832175|-26.737900|4590|  11694|12 39 19.722|-26 44 16.44|14.848|13.840|      |11.144| -92.59|4568| 1.31|-2.23| 1.65|-2.230| | 0.539| 0.014| 0.377| 0.683| 0.319
189.873921|-26.729711|4590|  13002|12 39 29.741|-26 43 46.96|15.014|14.058|      |11.376| -92.18|4612| 1.40|-2.28| 1.56|-2.280| | 0.424| 0.397| 0.305| 0.792| 0.376
189.833900|-26.718389|4590|  14401|12 39 20.136|-26 43 06.20|15.480|14.614|      |12.132| -95.92|4726| 1.73|-2.29| 1.55|-2.286|<| 0.347| 0.473| 0.284| 0.955| 0.413
189.875317|-26.712958|4590|  14908|12 39 30.076|-26 42 46.65|15.246|14.356|      |11.858| -93.70|4673| 1.62|-2.25| 1.65|-2.253|<| 0.413| 0.009| 0.311| 0.549| 0.363
189.877812|-26.694111|4590|  16006|12 39 30.675|-26 41 38.80|15.393|14.533|      |12.070| -94.62|4710| 1.71|-2.32| 1.36|-2.319|<| 0.608| 0.218| 0.394| 0.684| 0.370
190.010737|-26.726178|4590|  17902|12 40 02.577|-26 43 34.24|15.354|14.488|      |11.985| -95.19|4700| 1.67|-2.36| 1.37|-2.356|<| 0.496| 0.195| 0.288| 1.036| 0.477
229.635958| +2.039014|5904| 900073|15 18 32.630|+02 02 20.45|14.347|13.141|      |10.204|  55.92|4289| 1.21|-1.29| 1.51|-1.292| | 0.154| 0.510| 0.405| 0.348| 0.356
229.685417| +2.034936|5904| 900085|15 18 44.500|+02 02 05.77|14.394|13.234|      |10.304|  46.91|4312| 1.26|-1.33| 1.45|-1.331| | 0.289| 0.035| 0.385|-0.092| 0.388
229.579154| +2.138650|5904| 900106|15 18 18.997|+02 08 19.14|14.541|13.397|      |10.548|  52.16|4370| 1.37|-1.33| 1.72|-1.326| | 0.261|-0.016| 0.396| 0.061| 0.283
229.681125| +2.052164|5904| 900122|15 18 43.470|+02 03 07.79|14.594|13.493|      |10.731|  57.59|4413| 1.44|-1.43| 1.66|-1.428| |-0.112| 0.589| 0.469| 0.675| 0.346
229.622325| +2.063817|5904| 900129|15 18 29.358|+02 03 49.74|14.644|13.566|      |10.794|  55.30|4428| 1.47|-1.42| 1.49|-1.416| | 0.044| 0.437| 0.523| 0.315| 0.284
229.554300| +2.096319|5904| 900138|15 18 13.032|+02 05 46.75|14.698|13.618|      |10.829|  55.17|4437| 1.50|-1.24| 1.43|-1.238| |-0.026| 0.365| 0.391| 0.352| 0.353
229.552650| +2.052939|5904| 900152|15 18 12.636|+02 03 10.58|14.764|13.695|      |10.938|  50.16|4463| 1.55|-1.37| 1.48|-1.370| | 0.175| 0.301| 0.500| 0.240| 0.273
229.622400| +2.130547|5904| 900165|15 18 29.376|+02 07 49.97|14.806|13.768|      |11.073|  46.11|4495| 1.60|-1.33| 1.71|-1.332|<|-0.387| 0.440| 0.446| 0.698| 0.225
229.674467| +2.098319|5904| 900190|15 18 41.872|+02 05 53.95|14.922|13.928|      |11.302|  59.51|4549| 1.70|-1.33| 1.33|-1.328| |-0.159| 0.431| 0.309| 0.610| 0.271
229.693558| +2.109397|5904| 900200|15 18 46.454|+02 06 33.83|14.984|13.969|      |11.382|  56.07|4568| 1.72|-1.36| 1.22|-1.357| | 0.369| 0.108| 0.490|-0.118| 0.340
229.711575| +2.083350|5904| 900204|15 18 50.778|+02 05 00.06|15.011|13.994|      |11.423|  49.00|4578| 1.74|-1.36| 1.74|-1.356| | 0.032| 0.025| 0.321| 0.064| 0.259
229.601267| +2.019314|5904| 900216|15 18 24.304|+02 01 09.53|15.078|14.036|      |11.453|  47.52|4585| 1.76|-1.27| 1.51|-1.270| | 0.383|-0.132| 0.438| 0.147| 0.275
229.517054| +2.098850|5904| 900078|15 18 04.093|+02 05 55.86|14.349|13.182|      |10.225|  53.31|4294| 1.23|-1.34| 1.65|-1.335| |-0.133| 0.425| 0.306| 0.607| 0.343
229.668854| +2.126056|5904| 900099|15 18 40.525|+02 07 33.80|14.495|13.352|      |10.485|  68.25|4355| 1.34|-1.38| 1.70|-1.379| | 0.281| 0.013| 0.349|-0.091| 0.253
245.768233|-26.395278|6121|   8195|16 23 04.376|-26 23 43.00|      |11.869|10.106| 7.782|  70.50|4284| 1.35|-1.14| 1.35|-1.139| | 0.253| 0.386| 0.548| 0.643| 0.469
245.808108|-26.556778|6121|  20766|16 23 13.946|-26 33 24.40|      |12.038|10.286| 8.072|  72.88|4332| 1.45|-1.15| 1.60|-1.150| | 0.076| 0.701| 0.530| 0.548| 0.559
245.810817|-26.513008|6121|  21728|16 23 14.596|-26 30 46.83|      |12.448|10.741| 8.509|  67.83|4408| 1.67|-1.16| 1.56|-1.161| | 0.201| 0.518| 0.498| 0.589| 0.553
245.953296|-26.585861|6121|  27448|16 23 48.791|-26 35 09.10|      |11.674| 9.848| 7.527|  75.79|4243| 1.24|-1.14| 1.69|-1.136| | 0.434| 0.181| 0.522| 0.508| 0.454
245.973242|-26.570861|6121|  28356|16 23 53.578|-26 34 15.10|      |12.521|10.850| 8.724|  76.16|4448| 1.72|-1.25| 1.39|-1.245| | 0.159| 0.474| 0.556| 0.594| 0.603
245.880917|-26.553078|6121|  29693|16 23 31.420|-26 33 11.08|      |11.747| 9.931| 7.639|  66.28|4261| 1.28|-1.28| 1.70|-1.275| | 0.201| 0.502| 0.563| 0.579| 0.641
245.896600|-26.542350|6121|  30598|16 23 35.184|-26 32 32.46|      |11.999|10.208| 7.753|  77.46|4279| 1.39|-1.15| 1.46|-1.147| | 0.379| 0.194| 0.575| 0.607| 0.454
245.851537|-26.541233|6121|  30711|16 23 24.369|-26 32 28.44|      |12.440|10.707| 8.464|  75.34|4400| 1.66|-1.13| 1.38|-1.133| | 0.173| 0.466| 0.541| 0.707| 0.463
245.943017|-26.540889|6121|  30751|16 23 46.324|-26 32 27.20|      |12.151|10.429|      |  70.80|4380| 1.58|-1.11| 1.69|-1.105| | 0.341| 0.367| 0.534| 0.594| 0.460
