#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-21T07:31:42 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51eb8df12195	
#INFO	-out.max=9999	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/505/117&tab:{J/A+A/505/117/stars}&key:source=J/A+A/505/117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/117/stars
#-order=I
#-out=NGC
#-out=[FeI/H]
#-out=e_[FeI/H]
#-out=[O/Fe]
#-out=e_[O/Fe]
#-out=l_[Na/Fe]
#-out=[Na/Fe]
#-out=e_[Na/Fe]
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35050117
#Name: J/A+A/505/117
#Title: Abundances of red giants in 15 globular clusters (Carretta+, 2009)
#Table	J_A_A_505_117_stars:
#Name: J/A+A/505/117/stars
#Title: ID, positions, magnitudes, RVs, atmospheric parameters and abundances for stars in 15 GCs {\em(tables 2, 3 and 6 of paper)}
#Column	NGC	(I4)	NGC number	[ucd=meta.id.parent]
#Column	[FeI/H]	(F6.3)	? [FeI/H] abundance	[ucd=phys.abund]
#Column	e_[FeI/H]	(F6.3)	? rms uncertainty on [FeI/H]	[ucd=stat.error;phys.abund]
#Column	[O/Fe]	(F6.3)	? [O/Fe] abundance	[ucd=phys.abund]
#Column	e_[O/Fe]	(F6.3)	? rms uncertainty on [Na/Fe]	[ucd=stat.error;phys.abund]
#Column	l_[Na/Fe]	(A1)	Limit flag on [Na/Fe]	[ucd=meta.code.error;phys.abund]
#Column	[Na/Fe]	(F6.3)	? [Na/Fe] abundance	[ucd=phys.abund]
#Column	e_[Na/Fe]	(F6.3)	? rms uncertainty on [Na/Fe]	[ucd=stat.error;phys.abund]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#NGC|[FeI/H]|e_[FeI/H]|[O/Fe]|e_[O/Fe]|l_[Na/Fe]|[Na/Fe]|e_[Na/Fe]|RAJ2000|DEJ2000
# |[Sun]|[Sun]|[Sun]|[Sun]| |[Sun]|[Sun]|"h:m:s"|"d:m:s"
#----|------|------|------|------|-|------|------|------------|------------
 104|-0.758| 0.126|      | 9.999| | 0.370| 0.010|00 24 46.457|-72 06 23.89
 104|-0.784| 0.156|      | 9.999| | 0.554| 0.124|00 24 25.064|-72 06 20.40
 104|-0.713| 0.169|-0.284| 0.095| | 0.920| 0.227|00 24 34.027|-72 06 17.35
 104|-0.722| 0.129|      | 9.999| | 0.370| 0.072|00 23 20.550|-72 05 01.46
 104|-0.744| 0.120| 0.368| 0.053| | 0.117| 0.110|00 23 48.073|-72 06 02.52
 104|-0.784| 0.096|      | 9.999| | 0.590| 0.089|00 23 29.274|-72 04 48.25
 104|-0.777| 0.169| 0.321| 0.098| | 0.331| 0.126|00 23 36.412|-72 04 47.79
 104|-0.759| 0.105| 0.280| 0.053| | 0.453| 0.103|00 23 38.148|-72 04 39.41
 104|-0.750| 0.097|      | 9.999| | 0.366| 0.046|00 24 34.205|-72 05 51.62
 104|-0.716| 0.143| 0.104| 9.999| | 0.558| 0.173|00 24 25.647|-72 05 50.85
 104|-0.768| 0.080| 0.224| 0.088| | 0.543| 0.022|00 23 32.020|-72 04 26.06
 104|-0.777| 0.126|-0.107| 0.128| | 0.602| 0.076|00 23 00.324|-72 04 17.38
 104|-0.772| 0.087|-0.208| 9.999| | 0.731| 0.014|00 24 03.693|-72 05 23.90
 104|-0.734| 0.139|-0.049| 9.999| | 0.610| 0.129|00 24 35.404|-72 05 17.64
 104|-0.722| 0.190|      | 9.999| | 0.315| 0.017|00 24 56.650|-72 05 14.46
 104|-0.817| 0.116| 0.054| 0.090| | 0.626| 0.138|00 23 53.082|-72 05 10.31
 104|-0.747| 0.112|-0.320| 9.999| | 0.743| 0.111|00 24 30.442|-72 05 09.48
 104|-0.709| 0.153|      | 9.999| | 0.193| 0.029|00 25 06.579|-72 05 08.55
 104|-0.741| 0.127| 0.347| 0.066| | 0.101| 0.093|00 23 56.755|-72 05 09.46
 104|-0.789| 0.160| 0.292| 9.999| | 0.360| 0.164|00 25 11.175|-72 05 08.33
 104|-0.679| 0.213|-0.034| 0.022| | 0.686| 0.182|00 24 11.653|-72 05 07.29
 104|-0.810| 0.134|      | 9.999| | 0.435| 0.092|00 23 51.880|-72 05 00.75
 104|-0.712| 0.113|      | 9.999| | 0.325| 0.080|00 24 38.257|-72 04 59.87
 104|-0.787| 0.188| 0.138| 0.028| | 0.528| 0.019|00 24 01.551|-72 04 59.38
 104|-0.736| 0.099|      | 9.999| | 0.508| 0.125|00 22 30.612|-72 03 21.21
 104|-0.773| 0.128| 0.338| 0.016| | 0.433| 0.046|00 22 09.965|-72 03 19.54
 104|-0.740| 0.164|-0.126| 9.999|<| 0.530| 0.089|00 23 01.849|-72 03 06.85
 104|-0.760| 0.137| 0.089| 9.999| | 0.498| 0.122|00 23 07.182|-72 03 05.28
 104|-0.772| 0.101|-0.177| 9.999|<| 0.859| 0.073|00 22 23.873|-72 03 03.88
 104|-0.750| 0.121| 0.294| 0.019| | 0.388| 0.016|00 24 21.090|-72 04 46.19
 104|-0.771| 0.159|      | 9.999| | 0.691| 0.120|00 24 20.669|-72 04 43.01
 104|-0.764| 0.042| 0.003| 0.027| | 0.514| 0.043|00 24 06.604|-72 04 37.79
 104|-0.764| 0.121| 0.193| 9.999| | 0.406| 0.157|00 23 39.917|-72 02 41.17
 104|-0.718| 0.101| 0.134| 9.999| | 0.576| 0.110|00 23 21.597|-72 02 33.15
 104|-0.783| 0.147| 0.089| 0.004| | 0.540| 0.148|00 23 49.433|-72 04 26.50
 104|-0.730| 0.144|      | 9.999| | 0.417| 0.061|00 24 18.832|-72 04 26.03
 104|-0.779| 0.107| 0.409| 0.029| | 0.375| 0.085|00 24 06.739|-72 04 26.03
 104|-0.717| 0.122| 0.055| 9.999|<| 0.513| 0.120|00 25 30.936|-72 04 19.74
 104|-0.690| 0.137| 0.211| 0.102|<| 0.649| 0.015|00 23 36.667|-72 02 16.81
 104|-0.718| 0.116| 0.300| 9.999| | 0.426| 0.112|00 22 38.575|-72 02 08.29
 104|-0.780| 0.159| 0.114| 9.999| | 0.674| 0.130|00 24 12.242|-72 04 11.89
 104|-0.740| 0.164|-0.221| 0.087| | 0.597| 0.024|00 24 28.359|-72 04 04.01
 104|-0.736| 0.198|-0.024| 0.164| | 0.715| 0.079|00 23 38.693|-72 01 50.08
 104|-0.664| 0.126| 0.136| 0.069| | 0.446| 0.110|00 22 41.030|-72 01 46.27
 104|-0.794| 0.074| 0.325| 9.999| | 0.504| 0.030|00 24 18.629|-72 04 01.56
 104|-0.698| 0.201| 0.270| 0.051| | 0.249| 0.081|00 25 24.179|-72 03 57.11
 104|-0.731| 0.131|      | 9.999| | 0.619| 0.172|00 23 58.501|-72 03 45.22
 104|-0.658| 0.113|      | 9.999| | 0.519| 0.240|00 24 24.689|-72 03 38.66
 104|-0.717| 0.131|      | 9.999| | 0.574| 0.108|00 24 12.806|-72 03 38.41
 104|-0.742| 0.118| 0.336| 0.034| | 0.295| 0.096|00 22 43.643|-72 00 45.73
 104|-0.719| 0.080|-0.015| 9.999|<| 0.604| 0.054|00 22 43.115|-72 00 33.10
 104|-0.713| 0.117| 0.024| 9.999|<| 0.580| 0.090|00 23 19.197|-72 00 26.50
 104|-0.729| 0.103|      | 9.999| | 0.327| 0.127|00 24 09.127|-72 03 20.80
 104|-0.752| 0.093| 0.238| 9.999| | 0.247| 0.051|00 24 23.848|-72 03 18.85
 104|-0.714| 0.100| 0.170| 0.122| | 0.488| 0.062|00 24 02.761|-72 03 18.03
 104|-0.732| 0.085|-0.063| 0.153| | 0.542| 0.086|00 25 06.789|-72 03 15.25
 104|-0.713| 0.120| 0.139| 0.172| | 0.632| 0.117|00 23 18.785|-71 59 55.22
 104|-0.691| 0.120| 0.336| 0.077| | 0.343| 0.046|00 24 52.032|-72 03 08.06
 104|-0.763| 0.159|      | 9.999| | 0.550| 0.116|00 23 58.422|-72 03 06.03
 104|-0.771| 0.103| 0.287| 9.999| | 0.405| 0.079|00 25 29.043|-72 03 02.92
 104|-0.739| 0.164|      | 9.999| | 0.243| 0.019|00 24 06.411|-72 03 04.24
 104|-0.711| 0.152| 0.061| 0.002| | 0.631| 0.136|00 24 43.948|-72 03 00.37
 104|-0.742| 0.114| 0.162| 0.016| | 0.629| 0.017|00 24 10.102|-72 02 59.21
 104|-0.723| 0.131| 0.287| 0.037| | 0.461| 0.158|00 24 39.696|-72 02 58.20
 104|-0.740| 0.167|      | 9.999| | 0.495| 0.108|00 23 46.881|-72 02 55.37
 104|-0.765| 0.132|      | 9.999| | 0.593| 0.045|00 24 30.044|-72 02 54.41
 104|-0.760| 0.140| 0.171| 0.132| | 0.544| 0.066|00 25 23.273|-72 02 37.46
 104|-0.678| 0.120| 0.144| 9.999| | 0.485| 0.076|00 22 56.834|-71 58 29.39
 104|-0.773| 0.150|      | 9.999| | 0.108| 0.029|00 24 39.851|-72 02 29.44
 104|-0.713| 0.126|-0.093| 9.999|<| 0.719| 0.009|00 25 23.031|-72 02 21.86
 104|-0.753| 0.140| 0.169| 0.103| | 0.400| 0.024|00 24 27.756|-72 02 17.38
 104|-0.802| 0.133|      | 9.999| | 0.462| 0.123|00 25 11.496|-72 02 01.56
 104|-0.721| 0.126|-0.081| 9.999| | 0.728| 0.125|00 23 55.015|-72 01 57.36
 104|-0.747| 0.123| 0.141| 9.999| | 0.264| 0.071|00 23 50.343|-72 01 52.09
 104|-0.757| 0.158| 0.004| 9.999| | 0.596| 0.046|00 25 05.410|-72 01 43.27
 104|-0.740| 0.091| 0.334| 0.022| | 0.491| 0.024|00 24 31.395|-72 01 25.34
 104|-0.701| 0.083|      | 9.999| | 0.540| 0.114|00 24 19.486|-72 01 22.32
 104|-0.706| 0.153| 0.264| 9.999| | 0.513| 0.153|00 25 28.658|-72 01 20.01
 104|-0.764| 0.114| 0.173| 9.999| | 0.523| 0.093|00 25 06.251|-72 01 16.88
 104|-0.727| 0.095| 0.302| 9.999| | 0.197| 0.024|00 24 53.854|-72 00 55.10
 104|-0.709| 0.171|      | 9.999| | 0.335| 0.041|00 25 28.584|-72 00 39.39
 104|-0.754| 0.168| 0.000| 9.999| | 0.550| 0.010|00 24 17.213|-72 00 37.68
 104|-0.756| 0.183|      | 9.999| | 0.193| 0.002|00 24 39.918|-72 00 19.64
 104|-0.714| 0.139|      | 9.999| | 0.433| 0.023|00 24 17.545|-72 00 15.82
 104|-0.695| 0.078| 0.309| 9.999| | 0.370| 0.028|00 24 02.727|-71 59 57.23
 104|-0.767| 0.138|      | 9.999| | 0.697| 0.120|00 24 17.609|-71 59 30.97
 104|-0.708| 0.139| 0.144| 9.999| | 0.632| 0.101|00 25 12.889|-71 59 12.59
 104|-0.758| 0.167|      | 9.999| | 0.238| 0.017|00 25 13.826|-71 59 10.34
 104|-0.693| 0.154|-0.220| 9.999| | 0.672| 0.061|00 24 26.960|-71 58 53.20
 104|-0.737| 0.190| 0.050| 0.071| | 0.517| 0.056|00 24 08.223|-71 58 26.75
 104|-0.736| 0.129|-0.068| 9.999| | 0.705| 0.148|00 24 41.005|-71 58 18.76
 104|-0.738| 0.134| 0.047| 9.999| | 0.633| 0.174|00 24 02.799|-71 58 17.80
 104|-0.718| 0.132| 0.800| 0.031| | 0.690| 0.009|00 23 18.216|-72 07 46.53
 288|-1.253| 0.130|      | 9.999| | 0.048| 0.035|00 53 14.919|-26 33 52.20
 288|-1.241| 0.190|      | 9.999| | 0.575| 0.019|00 53 11.105|-26 33 58.70
 288|-1.144| 0.171|-0.125| 9.999| | 0.574| 0.226|00 53 10.199|-26 34 53.52
 288|-1.273| 0.150|      | 9.999| |-0.057| 0.093|00 53 26.568|-26 32 42.13
 288|-1.185| 0.161|-0.004| 0.186| | 0.169| 0.061|00 52 41.114|-26 33 26.75
 288|-1.258| 0.128| 0.572| 0.004| | 0.179| 0.081|00 52 46.244|-26 37 25.66
 288|-1.238| 0.098|      | 9.999| | 0.756| 0.055|00 52 43.287|-26 36 56.81
 288|-1.256| 0.173| 0.536| 9.999| | 0.106| 0.182|00 52 58.441|-26 36 05.87
 288|-1.236| 0.146|-0.047| 0.093| | 0.737| 0.095|00 52 52.501|-26 36 03.76
 288|-1.207| 0.136|      | 9.999| | 0.502| 0.085|00 52 46.254|-26 35 49.04
 288|-1.213| 0.111| 0.302| 0.027| | 0.247| 0.067|00 52 50.128|-26 34 14.40
 288|-1.335| 0.210|-0.171| 9.999|<| 0.571| 0.074|00 52 45.191|-26 34 57.92
 288|-1.317| 0.122| 0.047| 9.999| | 0.564| 0.059|00 52 42.520|-26 35 12.42
 288|-1.183| 0.166| 0.377| 0.309| | 0.191| 0.070|00 52 39.979|-26 33 49.56
 288|-1.248| 0.162|      | 9.999| | 0.226| 0.015|00 53 00.809|-26 36 43.71
 288|-1.305| 0.164| 0.382| 0.182| | 0.123| 9.999|00 52 56.916|-26 34 50.81
 288|-1.266| 0.129| 0.128| 0.129| | 0.521| 0.068|00 52 52.603|-26 35 26.69
 288|-1.190| 0.111|-0.352| 9.999|<| 0.738| 0.022|00 52 52.955|-26 33 42.42
 288|-1.194| 0.126| 0.147| 9.999| | 0.087| 0.187|00 52 49.807|-26 36 55.59
 288|-1.253| 0.129| 0.049| 9.999| | 0.669| 0.060|00 52 49.767|-26 35 11.46
 288|-1.212| 0.170|-0.355| 9.999| | 0.586| 0.108|00 52 31.493|-26 36 01.47
 288|-1.194| 0.131|      | 9.999| | 0.717| 0.033|00 52 46.214|-26 35 14.78
 288|-1.205| 0.114| 0.363| 9.999| | 0.033| 9.999|00 52 40.540|-26 38 15.95
 288|-1.219| 0.196| 0.031| 9.999|<| 0.093| 0.091|00 52 36.096|-26 37 06.07
 288|-1.232| 0.153| 0.419| 0.045| | 0.060| 0.030|00 52 35.395|-26 37 43.09
 288|-1.232| 0.163|      | 9.999| |-0.005| 0.076|00 52 37.956|-26 36 06.05
 288|-1.225| 0.134|      | 9.999| | 0.001| 0.031|00 52 52.926|-26 37 57.88
 288|-1.197| 0.147| 0.184| 9.999| | 0.039| 9.999|00 52 37.619|-26 34 10.24
 288|-1.226| 0.114| 0.104| 9.999|<| 0.396| 0.015|00 52 58.474|-26 30 55.41
 288|-1.207| 0.130|      | 9.999| | 0.485| 0.177|00 52 49.098|-26 40 06.95
 288|-1.180| 0.130| 0.066| 9.999|<| 0.922| 0.158|00 52 50.878|-26 35 53.01
 288|-1.296| 0.135|-0.304| 9.999| | 0.497| 0.033|00 52 40.560|-26 28 03.28
 288|-1.200| 0.143|      | 9.999| | 0.377| 0.078|00 53 05.694|-26 34 25.20
 288|-1.194| 0.130|      | 9.999| | 0.055| 0.014|00 52 44.923|-26 34 30.15
 288|-1.296| 0.118|-0.114| 9.999|<| 0.176| 0.105|00 52 46.553|-26 31 52.11
 288|-1.180| 0.156|      | 9.999| | 0.000| 0.070|00 52 43.744|-26 34 24.53
 288|-1.142| 0.068|      | 9.999| | 0.069| 0.014|00 52 34.112|-26 34 49.41
 288|-1.200| 0.150| 0.090| 9.999| | 0.401| 0.082|00 52 34.787|-26 36 12.76
 288|-1.236| 0.215|-0.050| 9.999| | 0.672| 0.095|00 52 40.330|-26 36 32.50
 288|-1.207| 0.161| 0.030| 9.999|<| 0.000| 0.152|00 52 47.025|-26 37 03.80
 288|-1.281| 0.174|-0.045| 9.999| | 0.079| 0.114|00 52 38.114|-26 37 08.50
 288|-1.206| 0.111|-0.023| 9.999|<| 0.370| 0.093|00 52 39.742|-26 35 27.48
 288|-1.267| 0.111| 0.067| 9.999| | 0.516| 0.121|00 52 52.396|-26 32 24.97
 288|-1.255| 0.152|-0.035| 9.999|<| 0.436| 0.093|00 52 55.735|-26 33 14.20
 288|-1.167| 0.132|      | 9.999| | 0.109| 0.041|00 52 33.412|-26 36 39.76
 288|-1.258| 0.051|      | 9.999| | 0.447| 0.055|00 52 57.596|-26 33 27.13
 288|-1.235| 0.131|      | 9.999| | 0.471| 0.064|00 52 54.392|-26 34 05.21
 288|-1.244| 0.136|-0.104| 9.999| | 0.308| 9.999|00 52 41.459|-26 39 23.05
 288|-1.247| 0.102|-0.184| 9.999|<| 0.468| 0.066|00 52 51.318|-26 34 01.29
 288|-1.238| 0.215|      | 9.999| | 0.567| 0.100|00 52 40.417|-26 38 57.84
 288|-1.193| 0.208|      | 9.999| | 0.006| 0.002|00 52 48.881|-26 35 29.88
 288|-1.249| 0.123|      | 9.999| | 0.004| 0.073|00 52 37.745|-26 33 46.40
 288|-1.242| 0.145| 0.426| 9.999| | 0.172| 9.999|00 52 47.253|-26 35 42.92
 288|-1.208| 0.180| 0.022| 9.999|<| 0.342| 0.037|00 53 04.412|-26 37 14.34
 288|-1.175| 0.112| 0.489| 9.999| |-0.011| 0.047|00 52 56.203|-26 36 12.33
 288|-1.187| 0.140|      | 9.999| | 0.086| 0.031|00 52 43.889|-26 37 52.82
 288|-1.222| 0.126|      | 9.999| | 0.345| 0.127|00 52 45.836|-26 31 23.30
 288|-1.230| 0.103|-0.259| 9.999| | 0.583| 0.116|00 53 00.552|-26 35 20.29
 288|-1.184| 0.092|      | 9.999| |-0.094| 0.019|00 52 57.344|-26 35 10.35
 288|-1.196| 0.143| 0.059| 9.999| | 0.264| 0.159|00 52 48.363|-26 34 26.59
 288|-1.263| 0.117| 0.041| 9.999|<|-0.072| 0.136|00 53 06.424|-26 30 49.37
 288|-1.206| 0.134|      | 9.999| | 0.771| 0.009|00 52 49.841|-26 32 48.97
 288|-1.157| 0.109|-0.219| 9.999|<| 0.338| 0.249|00 52 41.886|-26 29 38.48
 288|-1.233| 0.120| 0.546| 9.999|<| 0.603| 0.061|00 52 47.635|-26 34 43.31
 288|-1.157| 0.093|      | 9.999| | 0.212| 9.999|00 52 41.025|-26 39 53.67
 288|-1.204| 0.112| 0.230| 9.999| | 0.036| 0.250|00 52 49.212|-26 34 41.53
 288|-1.127| 0.135|      | 9.999| |-0.150| 0.043|00 52 31.845|-26 36 15.13
 288|-1.134| 0.091| 0.291| 9.999|<| 0.310| 0.259|00 52 59.217|-26 34 19.24
 288|-1.260| 0.149|      | 9.999| | 0.430| 0.099|00 52 34.580|-26 31 55.70
 288|-1.238| 0.127| 0.310| 9.999| | 0.304| 0.133|00 53 04.596|-26 37 29.15
 288|-1.179| 0.160| 0.097| 9.999| | 0.182| 9.999|00 52 40.295|-26 36 19.22
 288|-1.224| 0.146| 0.086| 9.999| | 0.202| 9.999|00 52 35.293|-26 31 37.56
 288|-1.223| 0.141|      | 9.999| | 0.472| 0.126|00 52 39.148|-26 34 23.94
 288|-1.175| 0.113|      | 9.999| | 0.080| 0.104|00 52 36.439|-26 32 50.30
 288|-1.206| 0.157|-0.017| 9.999|<| 0.654| 0.083|00 52 37.051|-26 31 21.14
 288|-1.233| 0.125| 0.040| 9.999|<| 0.198| 0.076|00 52 47.229|-26 35 19.35
 288|-1.200| 0.090| 0.343| 9.999| |-0.188| 9.999|00 52 46.768|-26 38 05.10
 288|-1.290| 0.181| 0.364| 9.999| | 0.369| 0.081|00 53 03.127|-26 27 49.25
 288|-1.337| 0.147| 0.074| 9.999| | 0.716| 9.999|00 52 45.406|-26 32 55.92
 288|-1.196| 0.133| 0.028| 9.999|<| 0.614| 0.089|00 52 54.635|-26 37 50.69
 288|-1.220| 0.071|      | 9.999| | 0.225| 0.110|00 52 54.304|-26 33 53.78
