#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-04-08T07:26:35 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ516270c82505	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/465/815&tab:{J/A+A/465/815/tablea}&key:source=J/A+A/465/815/tablea&HTTPPRM:&-ref=VIZ516270c82505&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-source=J/A+A/465/815/tablea
#-order=I
#-out=Star
#-out=Ion
#-out=Lambda
#-out=loggf
#-out=r_loggf
#-out=EW
#-out=Abund
#

#RESOURCE=yCat_34650815
#Name: J/A+A/465/815
#Title: Abundances of Sgr dSph stars (Sbordone+, 2007)
#Table	J_A_A_465_815_tablea:
#Name: J/A+A/465/815/tablea
#Title: Equivalent widths and abundances
#Column	Star	(I4)	Star number (G1)	[ucd=meta.id;meta.main]
#Column	Ion	(A4)	Ion name	[ucd=phys.atmol.ionStage]
#Column	Lambda	(F8.4)	Line laboratory wavelength (2)	[ucd=em.wl;spect.line]
#Column	loggf	(F6.3)	line oscillator strength	[ucd=spect.line.intensity]
#Column	r_loggf	(A4)	References for employed loggf	[ucd=meta.ref;pos.frame]
#Column	EW	(F5.2)	? Equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Abund	(F5.2)	? Abundance	[ucd=phys.abund]
Star;Ion;Lambda;loggf;r_loggf;EW;Abund
 635;FeI ;587.7794;-2.230;FMW ; 3.84; 7.26
 635;FeI ;588.3817;-1.360;FMW ;     ;
 635;FeI ;615.1616;-3.299;FMW ;     ;
 635;FeI ;616.5360;-1.550;FMW ; 6.22; 6.96
 635;FeI ;618.7990;-1.720;FMW ; 7.51; 7.12
 635;FeI ;649.6465;-0.570;FMW ; 7.73; 7.05
 635;FeI ;670.3565;-3.160;FMW ;     ;
 635;FeII;483.3197;-4.780;FMW ;     ;
 635;FeII;492.3927;-1.320;FMW ;     ;
 635;FeII;499.3358;-3.650;FMW ; 6.35; 7.18
 635;FeII;510.0664;-4.370;FMW ; 4.30; 7.45
 635;FeII;513.2669;-4.180;FMW ; 4.01; 7.19
 635;FeII;516.1184;-4.483;K88 ;     ;
 635;FeII;525.6937;-4.250;K88 ; 3.36; 7.21
 635;FeII;526.4812;-3.190;FMW ;     ;
 635;FeII;614.9259;-2.724;K88 ; 3.55; 6.91
 635;CoI ;533.1700;-6.473;K88 ; 0.02; 3.93
 635;CoI ;553.0700;-2.060;FMW ; 0.02; 4.11
 635;NiI ;585.7747;-0.636;K88 ;     ;
 635;NiI ;612.8963;-3.330;FMW ; 4.16; 5.15
 635;NiI ;613.0130;-0.960;FMW ; 2.22; 5.56
 635;NiI ;617.5360;-0.530;FMW ; 5.32; 5.56
 635;NiI ;617.6807;-0.260;LW  ; 6.32; 5.48
 635;NiI ;617.7236;-3.500;FMW ; 3.86; 5.46
 635;CuI ;510.5500;-1.516;BIEL; 0.02; 3.05
 635;ZnI ;481.0528;-0.170;BG  ;     ;
 635;YII ;488.3683; 0.070;HL  ; 9.84; 1.67
 635;YII ;498.2130;-1.290;HL  ; 3.65; 1.59
 635;YII ;508.7417;-0.170;HL  ;     ;
 635;YII ;511.9113;-1.360;HL  ; 3.82; 1.63
 635;BaII;649.6896;-0.377;NBS ;15.69; 1.78
 635;LaII;480.4039;-1.490;LA  ;     ;
 635;LaII;511.4558;-1.030;LA  ; 7.35; 1.41
 635;LaII;632.0377;-1.610;ABH ; 2.95; 0.90
 635;CeII;518.7457; 0.130;H   ; 4.45; 1.57
 635;CeII;533.0556;-0.360;H   ; 3.30; 1.38
 635;CeII;546.8372; 0.140;H   ;     ;
 635;CeII;604.3374;-0.430;H   ;     ;
 635;NdII;491.4382;-0.700;HA  ; 5.95; 1.44
 635;NdII;495.9119;-0.800;HA  ;     ;
 635;NdII;496.1387;-0.710;MC' ; 4.78; 1.51
 635;NdII;508.9832;-1.160;MC' ;     ;
 635;NdII;529.3162; 0.100;HA  ; 5.53; 1.06
 635;NdII;543.1515;-0.470;HA  ; 2.51; 1.35
 635;NdII;548.5695;-0.120;HA  ;     ;
 656;OI  ;630.0304;-9.717;STZ ; 0.01; 8.15
 656;NaI ;568.2633;-0.700;KP  ; 9.61; 5.76
 656;NaI ;615.4227;-1.560;KP  ; 3.36; 5.62
 656;NaI ;616.0747;-1.260;KP  ; 4.34; 5.49
 656;MgI ;552.8405;-0.552;GC  ;19.77; 6.96
 656;MgI ;571.1087;-1.729;GC  ;11.05; 7.04
 656;MgI ;631.8716;-1.945;GC  ; 3.59; 6.98
 656;MgI ;631.9237;-2.165;GC  ;     ;
 656;AlI ;669.8673;-1.647;NBS ;     ;
 656;SiI ;577.2147;-1.750;GARZ;     ;
 656;SiI ;594.8541;-1.230;GARZ; 9.30; 7.35
 656;SiI ;612.5021;-1.540;ED  ; 3.72; 7.31
 656;SiI ;614.2482;-1.480;ED  ; 3.50; 7.21
 656;SiI ;614.5015;-1.430;ED  ; 3.34; 7.12
 656;SiI ;615.5134;-0.770;ED  ; 7.99; 7.28
 656;CaI ;551.2980;-0.447;SR  ;10.69; 6.04
 656;CaI ;560.1277;-0.523;SR  ;13.80; 6.35
 656;CaI ;585.7451; 0.240;SR  ;14.22; 5.95
 656;CaI ;586.7562;-1.490;GC  ; 4.26; 5.92
 656;CaI ;612.2217;-0.315;NIST;19.56; 6.00
 656;CaI ;615.6022;-2.180;NIST;     ;
 656;CaI ;616.1296;-1.266;SR  ; 9.98; 6.20
 656;CaI ;616.2174; 0.100;NBS ;     ;
 656;CaI ;616.6438;-1.142;SR  ; 9.73; 6.03
 656;CaI ;616.9042;-0.797;SR  ;11.64; 6.05
 656;CaI ;616.9562;-0.270;NBS ;     ;
 656;CaI ;643.9075; 0.390;SR  ;17.69; 5.89
 656;CaI ;645.5597;-1.290;SR  ; 8.16; 5.87
 656;CaI ;649.3781;-0.109;SR  ;13.98; 5.78
 656;CaI ;649.9650;-0.818;SR  ;10.92; 5.90
 656;CaI ;650.8850;-2.110;NBS ; 2.01; 5.57
 656;CaI ;679.8479;-2.320;K88 ; 1.45; 5.81
 656;ScII;552.6790; 0.130;MFW ;10.01; 2.34
 656;ScII;632.0852;-1.770;NBS ;     ;
 656;TiI ;488.5078; 0.358;MFW ; 9.83; 4.56
 656;TiI ;491.5229;-1.019;MFW ; 1.91; 4.32
 656;TiI ;499.7097;-2.118;MFW ; 8.42; 4.31
 656;TiI ;508.7058;-0.780;MFW ; 6.16; 4.33
 656;TiI ;586.6450;-0.840;MFW ; 9.91; 4.53
 656;TiI ;612.6215;-1.425;MFW ; 7.18; 4.58
 656;VI  ;573.7059;-0.740;MFW ; 3.79; 3.36
 656;VI  ;613.5361;-0.746;MFW ; 3.92; 3.34
 656;VI  ;615.0157;-1.780;MFW ; 3.93; 3.43
 656;CrII;488.4607;-2.080;MFW ; 4.55; 5.45
 656;MnI ;511.7900;-1.140;MFW ; 0.02; 4.75
 656;FeI ;489.2859;-1.290;FMW ; 7.78; 7.28
 656;FeI ;506.7151;-0.970;FMW ; 9.54; 7.34
 656;FeI ;510.4438;-1.690;FMW ; 4.81; 7.15
 656;FeI ;510.9652;-0.980;FMW ; 7.98; 7.07
 656;FeI ;552.5545;-1.330;FMW ; 7.92; 7.29
 656;FeI ;585.5076;-1.760;FMW ;     ;
 656;FeI ;585.6087;-1.640;FMW ; 4.85; 7.08
 656;FeI ;585.8779;-2.260;FMW ; 2.00; 7.01
 656;FeI ;586.1109;-2.450;FMW ;     ;
 656;FeI ;587.7794;-2.230;FMW ; 3.64; 7.31
 656;FeI ;588.3817;-1.360;FMW ; 8.48; 7.08
 656;FeI ;615.1616;-3.299;FMW ; 9.37; 6.93
 656;FeI ;616.5360;-1.550;FMW ; 6.39; 7.07
 656;FeI ;618.7990;-1.720;FMW ; 6.49; 7.01
 656;FeI ;649.6465;-0.570;FMW ; 7.81; 7.12
 656;FeI ;670.3565;-3.160;FMW ; 7.27; 7.09
 656;FeII;483.3197;-4.780;FMW ; 3.18; 7.34
 656;FeII;492.3927;-1.320;FMW ;     ;
 656;FeII;499.3358;-3.650;FMW ; 7.05; 7.22
 656;FeII;510.0664;-4.370;FMW ; 3.30; 7.12
 656;FeII;513.2669;-4.180;FMW ; 4.72; 7.25
 656;FeII;516.1184;-4.483;K88 ; 2.17; 7.00
 656;FeII;525.6937;-4.250;K88 ;     ;
 656;FeII;526.4812;-3.190;FMW ; 4.81; 6.76
 656;FeII;614.9259;-2.724;K88 ;     ;
 656;CoI ;533.1700;-6.473;K88 ; 0.02; 4.11
 656;CoI ;553.0700;-2.060;FMW ; 0.02; 4.03
 656;NiI ;585.7747;-0.636;K88 ;     ;
 656;NiI ;612.8963;-3.330;FMW ; 6.24; 5.62
 656;NiI ;613.0130;-0.960;FMW ; 1.96; 5.52
 656;NiI ;617.5360;-0.530;FMW ; 4.71; 5.48
 656;NiI ;617.6807;-0.260;LW  ; 6.75; 5.59
 656;NiI ;617.7236;-3.500;FMW ; 2.78; 5.35
 656;CuI ;510.5500;-1.516;BIEL; 0.02; 3.05
 656;ZnI ;481.0528;-0.170;BG  ; 7.88; 3.92
 656;YII ;488.3683; 0.070;HL  ;10.46; 1.86
 656;YII ;498.2130;-1.290;HL  ; 4.06; 1.67
 656;YII ;508.7417;-0.170;HL  ; 7.92; 1.43
 656;YII ;511.9113;-1.360;HL  ; 4.41; 1.76
 656;BaII;649.6896;-0.377;NBS ;19.02; 2.20
 656;LaII;480.4039;-1.490;LA  ; 4.55; 1.33
 656;LaII;511.4558;-1.030;LA  ; 7.65; 1.51
 656;LaII;632.0377;-1.610;ABH ; 4.00; 1.15
 656;CeII;518.7457; 0.130;H   ; 2.78; 1.21
 656;CeII;533.0556;-0.360;H   ; 3.07; 1.35
 656;CeII;546.8372; 0.140;H   ; 2.43; 1.32
 656;CeII;604.3374;-0.430;H   ;     ;
 656;NdII;491.4382;-0.700;HA  ; 6.80; 1.67
 656;NdII;495.9119;-0.800;HA  ;     ;
 656;NdII;496.1387;-0.710;MC' ; 4.14; 1.40
