#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-04-23T09:16:44 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ517651004fa8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/117A&tab:{V/117A/newcat}&key:source=V/117A/newcat&HTTPPRM:&&-ref=VIZ517651004fa8&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/117A/newcat
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#-out=UVel
#-out=VVel
#-out=WVel
#-out=RVel
#-out=e_RVel
#-out=pmRA
#-out=pmDE
#-out=e_pm
#Tycho-2=Tycho-2
#Simbad=Simbad
#

#RESOURCE=yCat_5117
#Name: V/117A
#Title: Geneva-Copenhagen Survey of Solar neighbourhood (Holmberg+, 2007)
#INFO	status=obsolete	
#    This catalogue is obsoleted by <V/130>
#
#Table	V_117A_newcat:
#Name: V/117A/newcat
#Title: Main catalogue recalibrated data (2007)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a11)	Object name (HD,BD,CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I3)	? Distance	[ucd=pos.distance;pos.heliocentric]
#Column	UVel	(I4)	? Heliocentric space velocity component U (3)	[ucd=pos.cartesian.x]
#Column	VVel	(I4)	? Heliocentric space velocity component V (3)	[ucd=pos.cartesian.y]
#Column	WVel	(I4)	? Heliocentric space velocity component W (3)	[ucd=pos.cartesian.z]
#Column	RVel	(F6.1)	? Mean radial velocity (10)	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RVel	(F5.1)	? Standard deviation of RVel measurements	[ucd=stat.error;spect.dopplerVeloc]
#Column	pmRA	(I5)	? Proper motion in right ascension (4)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in declination (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pm	(I2)	? Standard error of total proper motion (4)	[ucd=stat.error]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;Dist;UVel;VVel;WVel;RVel;e_RVel;pmRA;pmDE;e_pm
001.9296;+37.1853;HD 292     ;00 07 43.1;+37 11 07; 95;  -2;  -4;  -8;   0.7;  0.2;   11;  -16; 2
001.9667;+55.5769;HD 299     ;00 07 52.0;+55 34 37; 46; -39; -19;  -6;   1.4;  0.2;  201;    8; 2
001.9058;-45.1194;HD 307     ;00 07 37.4;-45 07 10;122;  12; -60;   0;  14.6;  0.2;   29;  -98; 2
001.9075;-51.9547;HD 308     ;00 07 37.8;-51 57 17; 98; -64;   0;  14; -33.4;  0.1;  114;   38; 2
001.8946;-60.6417;HD 309     ;00 07 34.7;-60 38 30; 84;  16; -46; -37;  56.2;  1.0;   34;  -53; 2
002.0192;+53.7961;HD 330     ;00 08 04.6;+53 47 46;102;  -5; -56; -29; -42.5;  0.6;   73;  -63; 2
002.0029;+29.8375;HD 333     ;00 08 00.7;+29 50 15;230;    ;    ;    ;      ;     ;    1;    6; 2
002.0008; -7.5444;HD 334     ;00 08 00.2;-07 32 40; 94;   5;   7;  30; -25.4;  0.5;  -29;   29; 2
002.0679;-14.8244;HD 361     ;00 08 16.3;-14 49 28; 28;   3;   2;  -7;   7.7;  0.4;  -14;  -10; 2
002.1471;+53.2539;HD 372     ;00 08 35.3;+53 15 14;114; -32; -37;  -6; -18.1;  4.5;   85;   -3; 1
002.1254;+52.3364;HD 373     ;00 08 30.1;+52 20 11; 70; -22; -17;   4;  -6.2;  0.8;   80;   25; 2
002.1183;+34.9344;HD 375     ;00 08 28.4;+34 56 04; 79; -36; -23;  -1;  -5.7;  0.1;  114;   10; 2
002.1071; +6.6167;HD 377     ;00 08 25.7;+06 37 00; 40; -14;  -7;  -4;   1.3;  0.3;   85;   -3; 2
002.1058;-21.4086;HD 382     ;00 08 25.4;-21 24 31; 35; -22;  -5;  -4;   1.2;  0.2;  137;   35; 2
002.1150;-24.0936;HD 392     ;00 08 27.6;-24 05 37;132; -28;  -9;  -2;  -3.0;     ;   46;    9; 2
002.1704;+36.6269;HD 400     ;00 08 40.9;+36 37 37; 33;  28; -10;  -8; -15.2;  0.3; -115; -124; 2
002.2383;+66.4564;HD 404     ;00 08 57.2;+66 27 23; 32;   6; -66;  -8; -60.8;     ;  178;    2; 1
002.1463;-66.4169;HD 410     ;00 08 35.1;-66 25 01; 85; -76;  14;  -2; -36.2;  0.4;  149;   79; 2
002.1921;-34.7942;HD 427     ;00 08 46.1;-34 47 39; 96;  -8;   2;  20; -20.9;  1.0;    6;    7; 2
002.2942;+59.1497;HD 432     ;00 09 10.6;+59 08 59; 17; -40;  -8; -22;  12.6;     ;  523; -180; 1
002.2354;+12.8042;HD 435     ;00 08 56.5;+12 48 15; 78;  -8; -10; -18;   8.7;  0.2;   38;  -38; 2
002.2017;-47.0606;HD 439     ;00 08 48.4;-47 03 38;121; -38; -50;  -6;   5.9;  3.6;  100;  -45; 1
002.2679;+19.9244;HD 447     ;00 09 04.3;+19 55 28;115; -13;  11;   0;  11.3;  0.2;   11;   21; 1
002.2483;-39.7369;HD 457     ;00 08 59.6;-39 44 13; 55; -28; -15;  15; -19.4;  0.1;  112;  -17; 2
002.2925;+44.7217;HD 460     ;00 09 10.2;+44 43 18;128; -17; -31; -20; -13.9;  1.2;   53;  -33; 1
002.2608;-35.0917;HD 466     ;00 09 02.6;-35 05 30;139; -21; -18;  13; -16.3;  0.9;   37;  -13; 2
002.2596;-54.0017;HD 469     ;00 09 02.3;-54 00 06;   ;    ;    ;    ;  -1.1;  0.2;   47;   13; 1
002.3154;+25.2819;HD 471     ;00 09 15.7;+25 16 55; 45; -21; -28; -34;   5.0; 15.5;  173; -149; 1
002.3308;+17.5339;HD 483     ;00 09 19.4;+17 32 02; 52;  21; -40;  -1; -31.4; 20.4;    3; -131; 1
002.3671;+19.1156;HD 489     ;00 09 28.1;+19 06 56; 73; -78; -59;  13; -31.0;  0.2;  269;   29; 1
002.3375;-27.9878;HD 493     ;00 09 21.0;-27 59 16; 69; -19; -16; -12;   7.7;     ;   78;  -17; 6
002.3471;-41.0444;HD 494     ;00 09 23.3;-41 02 40; 84; -23; -74;  -2;   6.0; 67.2;  137; -137; 2
002.4633; +8.4531;HD 531     ;00 09 51.2;+08 27 11; 51; -12;   0; -15;  13.9;     ;   54;  -10; 3
002.4229;-37.3147;HD 536     ;00 09 41.5;-37 18 53;130;  35;   2;   9;  -1.4;  0.8;  -53;  -24; 2
002.4583;-33.7889;HD 546     ;00 09 50.0;-33 47 20; 58;  36; -29;  -4;  11.3;  0.1;  -62; -150; 2
002.4521;-40.8928;HD 547     ;00 09 48.5;-40 53 34; 72; -20; -59; -12;  14.3;  0.3;  138; -118; 1
002.4700;-50.2678;HD 564     ;00 09 52.8;-50 16 04; 53;  26;   4;  -4;  11.1;  0.3;  -96;  -19; 2
002.6029;+58.5236;HD 570     ;00 10 24.7;+58 31 25;   ;    ;    ;    ;      ;     ;   -5;   -9; 2
002.5104;-63.2967;HD 578     ;00 10 02.5;-63 17 48;104;  25;  -2;  17;  -2.9;  0.1;  -47;  -39; 2
002.6000;+58.4894;HD 583     ;00 10 24.0;+58 29 22; 96;  49;   3;   4; -20.1;  1.9;  -99;  -10; 2
002.6096;-14.4522;HD 604     ;00 10 26.3;-14 27 08;108; -18; -38; -15;   3.5;  0.6;   69;  -52; 2
002.5183;-79.0017;HD 610     ;00 10 04.4;-79 00 06; 90;   1; -11;  -6;  11.2;  0.6;   13;   -4; 2
002.6229;+15.2317;HD 615     ;00 10 29.5;+15 13 54; 77;  33;  -5;  -8;  -4.6;  0.1;  -70;  -63; 1
002.6629;+12.8200;HD 631     ;00 10 39.1;+12 49 12; 64; -14;  12; -29;  32.3;  0.3;   39;  -17; 1
002.6696; +2.0553;HD 633     ;00 10 40.7;+02 03 19; 55;  -1;  13; -12;  17.0;  0.1;  -13;   17; 1
002.6950;+37.4739;HD 639     ;00 10 46.8;+37 28 26;113; -22; -20;   8; -11.8;  3.1;   51;   16; 2
002.7333;+48.1103;HD 652     ;00 10 56.0;+48 06 37; 61; -43; -22;  -8;   1.2;  0.8;  169;    0; 2
002.6767;-54.4003;HD 659     ;00 10 42.4;-54 24 01;   ;    ;    ;    ;  -1.8;  1.3;    8;   18; 2
002.6604;-73.2242;HD 661/2   ;00 10 38.5;-73 13 27; 66; -41;  -6;  -1; -14.0;     ;  123;   20; 2
002.8158;-15.4678;HD 693     ;00 11 15.8;-15 28 04; 19;  19; -13; -18;  14.9;  0.3;  -83; -271; 1
002.8250;-21.2494;HD 694     ;00 11 18.0;-21 14 58; 92;    ;    ;    ;      ;     ;   -6;  -42; 2
002.8517;+23.8181;HD 700     ;00 11 24.4;+23 49 05; 54;   3;  11;   5;   4.1;  0.1;  -34;   32; 1
002.8250;-32.8003;HD 705     ;00 11 18.0;-32 48 01; 66;  35;  15;  -8;  14.0; 45.5; -116;   -9; 2
002.8967; -3.0778;HD 717     ;00 11 35.2;-03 04 40; 71; -40; -35;   8; -19.8;  0.4;  150;  -12; 2
002.9017;-23.6322;HD 732     ;00 11 36.4;-23 37 56;107; -25; -13;  -2;  -2.1;  0.2;   55;    1; 2
002.8783;-49.6292;HD 734     ;00 11 30.8;-49 37 45; 48;  12;  -5;   0;   4.9;  0.8;  -39;  -38; 2
002.8758;-49.6281;HD 734     ;00 11 30.2;-49 37 41;   ;    ;    ;    ;   6.7;     ;  -39;  -38; 2
002.9404;+27.5100;HD 737     ;00 11 45.7;+27 30 36; 92;   5; -11;  -6;  -6.8;  2.3;    5;  -27; 2
002.9200; -9.7028;HD 738     ;00 11 40.8;-09 42 10;141; -55; -40;  -6;  -6.8;  0.2;  101;  -11; 2
002.9333;-35.1331;HD 739     ;00 11 44.0;-35 07 59; 22; -25;   3;  16; -21.1;     ;  169;  115; 1
002.8875;-58.9097;HD 741     ;00 11 33.0;-58 54 35; 59; -68; -35;  -7;  -4.8;  0.4;  273;   -5; 3
002.9587;+28.4233;HD 744     ;00 11 50.1;+28 25 24; 78;  26;  23;  16;   0.6;  0.4;  -96;   36; 2
002.9083;-49.6558;HD 749     ;00 11 38.0;-49 39 21;   ;    ;    ;    ;  21.6;  2.8;   28;  -58; 1
002.8988;-57.4725;HD 750     ;00 11 35.7;-57 28 21; 36;  -7; -30; -20;  26.1;  0.4;  136;  -68; 2
003.0058;+28.6064;HD 755     ;00 12 01.4;+28 36 23; 92;  33; -44; -11; -38.8;  5.4;  -14;  -92; 2
002.9779;-22.8175;HD 768     ;00 11 54.7;-22 49 03; 92;    ;    ;    ;      ;     ;   46;  -39; 2
003.1179;+20.2342;HD 804     ;00 12 28.3;+20 14 03; 51; -30; -61;  21; -48.5;  0.3;  216;  -21; 1
003.1371;+24.6361;HD 811     ;00 12 32.9;+24 38 10;   ;    ;    ;    ;      ;     ;   22;  -15; 1
003.2000;+46.0953;HD 818     ;00 12 48.0;+46 05 43; 55; -18; -16;  -6;  -4.8;  0.9;   93;  -15; 2
003.1367;-30.8597;HD 823     ;00 12 32.8;-30 51 35; 47;  29; -42; -12;  16.0;  0.4;  -15; -224; 2
003.2500;+12.3308;HD 852     ;00 13 00.0;+12 19 51;169; -36; -21;  -7;   0.2;  2.9;   53;   -2; 1
003.2092;-57.9125;HD 870     ;00 12 50.2;-57 54 45; 20;   9;   8;  -1;   1.0;  0.1; -118;   36; 2
003.3262;-20.6186;HD 899     ;00 13 18.3;-20 37 07; 94; -35;   9; -27;  25.2;  0.1;   67;   48; 2
003.3233;-23.7325;HD 900     ;00 13 17.6;-23 43 57; 90;  -8;  -3; -19;  17.5;     ;   26;    1; 2
003.2917;-43.0650;HD 903     ;00 13 10.0;-43 03 54; 68; -22;  -9;   7; -10.5;  0.1;   71;   -1; 1
003.3783;+41.0353;HD 905     ;00 13 30.8;+41 02 07; 35;  35; -18; -10; -25.8;  1.8; -123; -146; 1
002.7879;-87.4142;HD 911     ;00 11 09.1;-87 24 51; 96; -14;  -2;  -3;  -3.9;  2.1;   31;    6; 2
003.4437;+64.8647;HD 912     ;00 13 46.5;+64 51 53;107; -39; -11;  -1;   9.5;  0.5;   78;    9; 2
003.3787;-40.3581;HD 924     ;00 13 30.9;-40 21 29; 33; -18;  -4; -15;  11.2;  0.8;  123;   50; 2
003.4404; +8.1933;HD 931     ;00 13 45.7;+08 11 36; 76;    ;    ;    ;      ;     ;  119;    2; 2
003.5117;+44.5119;HD 949     ;00 14 02.8;+44 30 43;122; -33; -12;   4;   2.1;  1.3;   59;   18; 1
003.5183;-11.3114;HD 967     ;00 14 04.4;-11 18 41; 42; -54; -79;   1; -24.6;  0.5;  424; -191; 2
003.5542;+35.4181;HD 975     ;00 14 13.0;+35 25 05; 74;  -4;   3;   1;   3.3;  0.2;    6;   10; 2
003.5375;+26.2586;HD 976     ;00 14 09.0;+26 15 31;111; -19; -30;  -8; -11.9;  2.0;   60;  -24; 2
003.4708;-56.9994;HD 980     ;00 13 53.0;-56 59 58; 70; -42;   1;   3; -17.4;  1.9;  107;   44; 2
003.5983;+43.8458;HD 982     ;00 14 23.6;+43 50 45; 91;   7;  -2;  11;  -8.0;  0.1;  -16;   19; 2
003.5425; -7.1989;HD 984     ;00 14 10.2;-07 11 56; 46; -12; -24;  -5;  -3.2;  0.7;  105;  -68; 2
003.4708;-74.6881;HD 987     ;00 13 53.0;-74 41 17; 44;  -9; -20;  -2;   8.8;  0.2;   83;  -45; 3
003.5867;-21.1969;HD 1000    ;00 14 20.8;-21 11 49; 55;  46; -46;  10; -13.6;  0.2;  -74; -234; 2
003.5842;-27.5314;HD 1002    ;00 14 20.2;-27 31 53; 49;  24; -27; -34;  34.8;  1.4;  -14; -152; 2
003.5612;-55.0694;HD 1004    ;00 14 14.7;-55 04 10; 46;   9; -11; -12;  17.4;  0.3;   -4;  -30; 2
003.6167;-14.4317;HD 1015    ;00 14 28.0;-14 25 54; 82;  51; -26;  -8;   2.0;  0.9;  -78; -126; 2
003.5925;-28.9344;HD 1019    ;00 14 22.2;-28 56 04; 53;  37;  -6; -16;  21.0;     ; -108;  -89; 3
003.6521; +1.2967;HD 1031    ;00 14 36.5;+01 17 48; 85;  -1; -14;  11; -15.8;  5.6;   15;  -12; 1
003.7079;+23.7933;HD 1047    ;00 14 49.9;+23 47 36;111;   0;  10;  -1;   7.9;  0.2;   -8;    8; 1
003.7879;+34.8681;HD 1073    ;00 15 09.1;+34 52 05; 91;    ;    ;    ;      ;     ;   22;  -19; 2
003.7225;-32.1525;HD 1078    ;00 14 53.4;-32 09 09; 88;    ;    ;    ;      ;     ;   33;  -31; 2
003.8317;+46.8992;HD 1080    ;00 15 19.6;+46 53 57; 56; -24;  12;   0;  20.5;  0.6;   55;   31; 2
003.8558;+45.0256;HD 1093    ;00 15 25.4;+45 01 32; 84;    ;    ;    ;      ;     ;  -28;  -56; 1
003.8396;+28.5869;HD 1094    ;00 15 21.5;+28 35 13; 92; -13; -15; -43;  16.7;  0.3;   56;  -86; 2
003.8179;-16.7561;HD 1101    ;00 15 16.3;-16 45 22;127; -11; -22;  -5;  -0.2;  0.6;   35;  -23; 2
003.7692;-68.5300;HD 1108    ;00 15 04.6;-68 31 48; 44; -20;  13;   5; -18.4;  0.3;   49;   54; 2
003.9371;+45.5436;HD 1121    ;00 15 44.9;+45 32 37;134;    ;    ;    ;      ;     ;   19;  -17; 1
003.9054;+23.4650;HD 1130    ;00 15 37.3;+23 27 54;151;  40; -16; -23;  -8.5;  0.8;  -33;  -58; 1
004.1008;+65.9542;HD 1177    ;00 16 24.2;+65 57 15; 76; -16; -22; -15; -12.1;  1.1;   74;  -30; 2
003.9458;-66.9239;HD 1184    ;00 15 47.0;-66 55 26; 86;  42; -17; -41;  56.6;  0.4;  -57;    3; 2
004.0925;-19.3994;HD 1204    ;00 16 22.2;-19 23 58; 80;  35; -43; -23;  16.2;  0.7;  -19; -151; 2
004.1446;+15.8369;HD 1213    ;00 16 34.7;+15 50 13;101; -22; -11;   3;  -4.1;     ;   50;   10; 1
004.1854;+36.4914;HD 1224    ;00 16 44.5;+36 29 29; 90; -43;  -8;  13;   4.5;  0.3;   93;   53; 2
004.0525;-79.8511;HD 1237    ;00 16 12.6;-79 51 04; 18; -34; -17;   3;  -6.1;  0.3;  434;  -58; 1
004.1967;-46.5739;HD 1271    ;00 16 47.2;-46 34 26;111; -46; -53;  38; -35.6;  0.6;  114;  -73; 1
004.2242;-52.6511;HD 1273    ;00 16 53.8;-52 39 04; 23; -41;   3;  -3; -11.4;  9.4;  313;  181; 2
004.2729; -1.6528;HD 1293    ;00 17 05.5;-01 39 10;   ;    ;    ;    ;  42.7;  0.4;   22;    9; 1
004.3521; +8.8764;HD 1317    ;00 17 24.5;+08 52 35; 65; -37;  23; -15;  32.6;  1.6;   75;   76; 1
004.3187;-43.8525;HD 1320    ;00 17 16.5;-43 51 09; 37; -56; -38; -19;  11.2;  0.2;  396;  -16; 1
004.3004;-44.3642;HD 1321    ;00 17 12.1;-44 21 51;275;    ;    ;    ;      ;     ;   32;   -8; 1
004.2012;-78.7800;HD 1324    ;00 16 48.3;-78 46 48;110; -30; -15;  14; -12.5;     ;   61;  -25; 2
004.5950;+44.0228;HD 1326    ;00 18 22.8;+44 01 22;   ;    ;    ;    ;  11.3;  0.5; 2888;  409; 1
004.3696; +0.3211;HD 1329    ;00 17 28.7;+00 19 16; 88; -31;  38;   1;  20.6;  0.4;   20;  107; 2
004.3862;-19.0508;HD 1343    ;00 17 32.7;-19 03 03; 49;  -4;  -3;   3;  -3.5;  0.3;   21;   -2; 2
004.4579;+16.3308;HD 1352    ;00 17 49.9;+16 19 51; 46; -41; -21; -16;   8.4;  0.3;  222;  -28; 1
004.3521;-66.5669;HD 1358    ;00 17 24.5;-66 34 01; 89; -30; -17;  -4;   0.4;  0.1;   82;   -2; 2
004.4950;-13.4556;HD 1388    ;00 17 58.8;-13 27 20; 26; -43; -16; -33;  27.8;  0.3;  400;   -1; 2
004.3937;-69.8783;HD 1391    ;00 17 34.5;-69 52 42; 95;  12;   1;  -8;  10.4;  0.5;  -22;    6; 2
004.5325; +3.7967;HD 1393    ;00 18 07.8;+03 47 48; 82;    ;    ;    ;      ;     ;  -30;    3; 1
004.5896;+49.5097;HD 1402    ;00 18 21.5;+49 30 35; 82;  21; -30;   5; -36.0;  1.2;  -11;   -9; 3
004.5867;+30.9561;HD 1405    ;00 18 20.8;+30 57 22; 25;  -4; -26; -13; -11.6;  1.0;  144; -172; 2
004.6037;+22.8800;HD 1418    ;00 18 24.9;+22 52 48;140;  13; -34; -40;  -2.8;  0.9;   16;  -80; 1
004.6225;-46.5319;HD 1452    ;00 18 29.4;-46 31 55; 66;  26;   5; -30;  33.7;  1.1;  -67;   11; 1
004.4550;-79.2322;HD 1455    ;00 17 49.2;-79 13 56;165;  20; -16;   5;  16.7;  0.9;  -13;  -22; 2
004.6742; -8.0528;HD 1461    ;00 18 41.8;-08 03 10; 23; -31; -38;  -1; -10.5;  0.2;  419; -145; 1
004.6087;-63.4772;HD 1466    ;00 18 26.1;-63 28 38; 41;  -9; -20;  -1;   6.6;  0.4;   90;  -59; 2
