#ID Teff logg vt [Fe/H] [Fe/H]_err [Mg/Fe] [Mg/Fe]_err [K/Fe] [K/Fe]_err [Ti/Fe] [Ti/Fe]_err [Ca/Fe] [Ca/Fe]_err
Iba11_1 4618 1.30 1.83 -1.83 0.13 0.51 0.20 0.11 0.26 0.18 0.17 0.14 0.08
Iba11_104 4598 1.29 1.83 -1.98 0.14 0.19 0.22 1.31 0.26 0.22 0.22 0.36 0.03
Iba11_40 4581 1.31 1.83 -2.04 0.13 -1.26 0.24 1.73 0.25 0.28 0.13 0.48 0.05
Iba11_49 4643 1.35 1.82 -2.10 0.15 -0.48 0.27 1.84 0.27 0.27 0.23 0.53 0.03
Iba11_25 4667 1.37 1.81 -2.05 0.13 -0.42 0.26 1.60 0.27 0.05 0.16 0.46 0.07
Iba11_61 4645 1.37 1.81 -2.14 0.15 nan 1.08 0.27 0.47 0.18 0.40 0.11
Iba11_158 4626 1.38 1.81 -1.95 0.13 0.77 0.27 0.82 0.26 0.19 0.14 0.33 0.06
Iba11_55 4641 1.40 1.81 -2.12 0.13 0.43 0.24 0.02 0.28 0.09 0.19 0.48 0.05
Iba11_170 4737 1.44 1.80 -1.94 0.13 0.47 0.24 nan 0.38 0.14 0.18 0.08
Iba11_90 4651 1.41 1.81 -2.00 0.13 -0.22 0.26 1.34 0.29 0.21 0.19 0.46 0.03
Iba11_46 4645 1.41 1.81 -2.15 0.13 0.81 0.25 0.87 0.29 0.43 0.12 0.39 0.06
